"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,26815.0456176058,26920.6376027365,-13388.5228088029,26777.0456176058,NA,NA,NA,"baseline_final","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26803.3284956237,26914.477953656,-13381.6642478118,26763.3284956237,13.7171219821612,1,0.000212508259305044,"auc_entropy","baseline_final","MAD","filteredCorrect","gpt2",NA
"baseline_midpoint_fit",19,26807.2537780982,26912.8457632289,-13384.6268890491,26769.2537780982,NA,NA,NA,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26804.8128137301,26915.9622717624,-13382.4064068651,26764.8128137301,4.44096436810287,1,0.0350864231195443,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26801.2258120949,26912.3752701272,-13380.6129060475,26761.2258120949,15.8198055109206,1,6.96694191546937e-05,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26805.303003794,26916.4524618263,-13382.651501897,26765.303003794,3.95077430424863,1,0.0468498059438857,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26817.0183343005,26928.1677923328,-13388.5091671503,26777.0183343005,0.0272833053168142,1,0.868804991983313,"auc_rank_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26801.1147157501,26912.2641737824,-13380.5573578751,26761.1147157501,8.13906234812384,1,0.00433216800281346,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26816.9874980744,26928.1369561067,-13388.4937490372,26776.9874980744,0.0581195314116485,1,0.809493169617796,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit",20,26809.0684398773,26920.2178979095,-13384.5342199386,26769.0684398773,0.185338220995618,1,0.666825233835766,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
