"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,1630.23044364828,1735.82242877896,-796.115221824139,1592.23044364828,NA,NA,NA,"baseline_final","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1630.66725798123,1741.81671601352,-795.333628990613,1590.66725798123,1.56318566705204,1,0.211199386324405,"auc_entropy","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"baseline_midpoint_fit",19,1663.12734646009,1768.71933159077,-812.563673230045,1625.12734646009,NA,NA,NA,"baseline_midpoint","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1649.84527683638,1760.99473486867,-804.922638418188,1609.84527683638,15.2820696237122,1,9.25912466188691e-05,"auc_entropy","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1631.52278044581,1742.67223847811,-795.761390222906,1591.52278044581,0.70766320246662,1,0.400220665224386,"layer_biggest_change_entropy","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1661.03833134652,1772.18778937881,-810.519165673258,1621.03833134652,4.0890151135734,1,0.0431627861816335,"layer_biggest_change_entropy","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1632.15612234449,1743.30558037679,-796.078061172247,1592.15612234449,0.0743213037849273,1,0.78514584478606,"auc_rank_correct","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1662.17171940962,1773.32117744192,-811.085859704811,1622.17171940962,2.95562705046768,1,0.0855791037564145,"auc_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1627.52191186259,1738.67136989488,-793.760955931294,1587.52191186259,4.70853178568973,1,0.0300132739319724,"layer_biggest_change_rank_correct","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1662.81525426122,1773.96471229351,-811.407627130609,1622.81525426122,2.31209219887023,1,0.128371159375321,"layer_biggest_change_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1629.40264444858,1740.55210248088,-794.70132222429,1589.40264444858,2.82779919969767,1,0.0926452398026796,"auc_logprob_correct","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1664.24625379203,1775.39571182432,-812.123126896015,1624.24625379203,0.881092668059864,1,0.34790258104811,"auc_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1632.03900167188,1743.18845970418,-796.019500835941,1592.03900167188,0.191441976396163,1,0.661719173217337,"layer_biggest_change_logprob_correct","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1656.31472833423,1767.46418636653,-808.157364167116,1616.31472833423,8.81261812585649,1,0.002991544695196,"layer_biggest_change_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1627.7944973362,1738.9439553685,-793.897248668101,1587.7944973362,4.43594631207657,1,0.0351897067501906,"auc_logprobdiff_pos","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1654.80553102514,1765.95498905744,-807.402765512571,1614.80553102514,10.3218154349468,1,0.0013146690678633,"auc_logprobdiff_pos","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1630.43515246068,1741.58461049298,-795.217576230342,1590.43515246068,1.79529118759342,1,0.180282811385827,"auc_logprobdiff_neg","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1659.08372457755,1770.23318260984,-809.541862288774,1619.08372457755,6.04362188254117,1,0.0139566227699519,"auc_logprobdiff_neg","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1631.8156359533,1742.9650939856,-795.90781797665,1591.8156359533,0.414807694977526,1,0.519539340609407,"layer_biggest_change_logprobdiff","baseline_final","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",20,1662.41655906695,1773.56601709925,-811.208279533476,1622.41655906695,2.71078739313725,1,0.0996717840189471,"layer_biggest_change_logprobdiff","baseline_midpoint","acc_max_time","filteredCorrect","Falcon3-10B-Base",NA
