"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,1649.21156824492,1754.8035533756,-805.605784122461,1611.21156824492,NA,NA,NA,"baseline_final","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1645.12968807863,1756.27914611092,-802.564844039314,1605.12968807863,6.08188016629447,1,0.0136575338174304,"auc_entropy","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",19,1645.51359173329,1751.10557686397,-803.756795866645,1607.51359173329,NA,NA,NA,"baseline_midpoint","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1636.57465869908,1747.72411673137,-798.28732934954,1596.57465869908,10.9389330342108,1,0.000941643804022482,"auc_entropy","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1640.81222956205,1751.96168759434,-800.406114781025,1600.81222956205,10.3993386828722,1,0.00126060452619232,"layer_biggest_change_entropy","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1645.52806902037,1756.67752705266,-802.764034510183,1605.52806902037,1.98552271292374,1,0.158809807436476,"layer_biggest_change_entropy","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1628.87434644261,1740.0238044749,-794.437173221304,1588.87434644261,22.3372218023146,1,2.28729928803995e-06,"auc_rank_correct","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1625.50510531102,1736.65456334332,-792.752552655512,1585.50510531102,22.0084864222674,1,2.71447588839425e-06,"auc_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1636.3691373963,1747.51859542859,-798.18456869815,1596.3691373963,14.8424308486228,1,0.000116876165941269,"layer_biggest_change_rank_correct","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1645.33232389539,1756.48178192768,-802.666161947693,1605.33232389539,2.1812678379049,1,0.139699338353249,"layer_biggest_change_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1626.75000704608,1737.89946507837,-793.375003523039,1586.75000704608,24.4615611988443,1,7.58072466838156e-07,"auc_logprob_correct","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1631.52948363204,1742.67894166434,-795.76474181602,1591.52948363204,15.9841081012501,1,6.38764386142306e-05,"auc_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1645.50832887307,1756.65778690537,-802.754164436536,1605.50832887307,5.70323937185071,1,0.0169336319389195,"layer_biggest_change_logprob_correct","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1646.75561269068,1757.90507072298,-803.37780634534,1606.75561269068,0.75797904260935,1,0.383961716976019,"layer_biggest_change_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1645.99243897313,1757.14189700542,-802.996219486565,1605.99243897313,5.21912927179255,1,0.0223397341463591,"auc_logprobdiff_pos","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1629.49785480455,1740.64731283684,-794.748927402274,1589.49785480455,18.0157369287417,1,2.19086353214219e-05,"auc_logprobdiff_pos","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1642.94473109786,1754.09418913015,-801.472365548928,1602.94473109786,8.26683714706542,1,0.00403757834377171,"auc_logprobdiff_neg","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1643.58250301091,1754.73196104321,-801.791251505457,1603.58250301091,3.93108872237599,1,0.0474012474541065,"auc_logprobdiff_neg","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1631.98551840372,1743.13497643602,-795.99275920186,1591.98551840372,19.2260498412015,1,1.16118006596579e-05,"layer_biggest_change_logprobdiff","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1647.49642607451,1758.6458841068,-803.748213037254,1607.49642607451,0.0171656587820053,1,0.895761241919735,"layer_biggest_change_logprobdiff","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1651.13160570665,1762.28106373894,-805.565802853324,1611.13160570665,0.0799625382740032,1,0.777348184160048,"auc_boosting_pos","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1627.36590996295,1738.51536799525,-793.682954981476,1587.36590996295,20.1476817703387,1,7.16870788271687e-06,"auc_boosting_pos","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1648.29115040982,1759.44060844212,-804.145575204912,1608.29115040982,2.92041783509785,1,0.0874652126639866,"auc_boosting_neg","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1627.4551686889,1738.6046267212,-793.72758434445,1587.4551686889,20.0584230443894,1,7.51119739501558e-06,"auc_boosting_neg","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1640.03154076333,1751.18099879563,-800.015770381666,1600.03154076333,11.1800274815907,1,0.000826825477779124,"layer_argmax_boosting","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1647.44479325499,1758.59425128728,-803.722396627494,1607.44479325499,0.068798478302142,1,0.793094293880688,"layer_argmax_boosting","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1649.91576476499,1761.06522279729,-804.957882382497,1609.91576476499,1.29580347992896,1,0.254981191429777,"twostage_magnitude","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1630.78618322832,1741.93564126061,-795.393091614158,1590.78618322832,16.7274085049751,1,4.31530440401423e-05,"twostage_magnitude","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1647.41242318175,1758.56188121405,-803.706211590876,1607.41242318175,3.79914506317027,1,0.0512787592644689,"twostage_magnitude_latter34","baseline_final","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,1625.73112059806,1736.88057863036,-792.865560299031,1585.73112059806,21.7824711352275,1,3.05377402251442e-06,"twostage_magnitude_latter34","baseline_midpoint","acc_max_time","filteredCorrect","OLMo-2-1124-13B",NA
