"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,1633.23915376198,1738.83113889266,-797.619576880989,1595.23915376198,NA,NA,NA,"baseline_final","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1630.77178223579,1741.92124026808,-795.385891117895,1590.77178223579,4.46737152618903,1,0.0345480997858605,"auc_entropy","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"baseline_midpoint_fit",19,1667.17675820607,1772.76874333675,-814.588379103034,1629.17675820607,NA,NA,NA,"baseline_midpoint","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1655.29788862702,1766.44734665932,-807.648944313511,1615.29788862702,13.8788695790458,1,0.00019497831434694,"auc_entropy","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1628.04643650914,1739.19589454143,-794.023218254569,1588.04643650914,7.19271725284011,1,0.00732000502640096,"layer_biggest_change_entropy","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1661.07584516804,1772.22530320033,-810.537922584018,1621.07584516804,8.10091303803256,1,0.00442429664060337,"layer_biggest_change_entropy","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1631.37970853338,1742.52916656568,-795.68985426669,1591.37970853338,3.859445228597,1,0.0494666821346945,"auc_rank_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1657.61038874136,1768.75984677366,-808.80519437068,1617.61038874136,11.5663694647071,1,0.000671554115642423,"auc_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1633.51527495735,1744.66473298965,-796.757637478677,1593.51527495735,1.72387880462475,1,0.18919452234637,"layer_biggest_change_rank_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1646.36158139392,1757.51103942621,-803.180790696959,1606.36158139392,22.8151768121495,1,1.7835171290653e-06,"layer_biggest_change_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1632.35095475767,1743.50041278996,-796.175477378835,1592.35095475767,2.88819900430894,1,0.0892306223894878,"auc_logprob_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1636.37696658997,1747.52642462226,-798.188483294983,1596.37696658997,32.7997916161012,1,1.02155794034007e-08,"auc_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1626.95213784301,1738.10159587531,-793.476068921505,1586.95213784301,8.28701591896765,1,0.00399295512903618,"auc_logprobdiff_pos","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1669.0934205903,1780.2428786226,-814.54671029515,1629.0934205903,0.0833376157672774,1,0.772824316065874,"auc_logprobdiff_pos","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1632.90979578991,1744.0592538222,-796.454897894953,1592.90979578991,2.32935797207142,1,0.126954229158304,"auc_logprobdiff_neg","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1668.06418998803,1779.21364802032,-814.032094994014,1628.06418998803,1.11256821804045,1,0.291524355572072,"auc_logprobdiff_neg","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1626.59509644022,1737.74455447252,-793.297548220112,1586.59509644022,8.64405732175442,1,0.00328129871854061,"layer_biggest_change_logprobdiff","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1639.95294555024,1751.10240358253,-799.97647277512,1599.95294555024,29.2238126558284,1,6.44818430507359e-08,"layer_biggest_change_logprobdiff","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,1625.27322508274,1736.42268311504,-792.636612541372,1585.27322508274,9.96592867923414,1,0.00159463722272082,"auc_boosting_pos","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
