"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,843.863758671408,945.14202238464,-403.931879335704,807.863758671408,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,842.418074633467,949.32290855299,-402.209037316734,804.418074633467,3.44568403794119,1,0.0634171657072234,"auc_entropy","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,845.519444641949,952.424278561471,-403.759722320974,807.519444641949,0.344314029459611,1,0.557349604202128,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"baseline_midpoint_fit",18,843.257036871621,944.535300584853,-403.628518435811,807.257036871621,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,840.23167425656,947.136508176083,-401.11583712828,802.23167425656,5.02536261506089,1,0.0249786947246285,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,829.824059865886,936.728893785408,-395.912029932943,791.824059865886,16.0396988055227,1,6.20281661504179e-05,"auc_rank_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,843.74140856442,950.646242483943,-402.87070428221,805.74140856442,1.51562830720093,1,0.2182822612905,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,830.242630599985,937.147464519507,-396.121315299992,792.242630599985,15.6211280714236,1,7.73850839179868e-05,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,843.715545246146,950.620379165669,-402.857772623073,805.715545246146,1.54149162547503,1,0.214395916200934,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,833.08288838032,939.987722299842,-397.54144419016,795.08288838032,12.7808702910886,1,0.000350181975302894,"auc_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,829.817531311649,936.722365231171,-395.908765655824,791.817531311649,15.4395055599725,1,8.5188673625465e-05,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",19,835.465102247337,942.369936166859,-398.732551123668,797.465102247337,10.3986564240715,1,0.00126107038021441,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
