"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,851.284675101027,952.562938814259,-407.642337550513,815.284675101027,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,829.819289730613,936.724123650136,-395.909644865307,791.819289730613,23.4653853704136,1,1.27181541201756e-06,"auc_entropy","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"baseline_midpoint_fit",18,859.733239339632,961.011503052864,-411.866619669816,823.733239339632,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,848.763249371334,955.668083290857,-405.381624685667,810.763249371334,12.9699899682977,1,0.00031652371760194,"auc_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,832.187540017329,939.092373936851,-397.093770008664,794.187540017329,21.0971350836977,1,4.36580354296912e-06,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,837.788887262167,944.69372118169,-399.894443631084,799.788887262167,23.9443520774648,1,9.91607672454021e-07,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,852.352640292764,959.257474212286,-407.176320146382,814.352640292764,0.932034808263097,1,0.334334739035137,"auc_rank_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,832.13100071407,939.035834633593,-397.065500357035,794.13100071407,29.6022386255615,1,5.30436423571992e-08,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,851.983544990043,958.888378909565,-406.991772495021,813.983544990043,1.30113011098376,1,0.254006898994026,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,830.222533140929,937.127367060452,-396.111266570465,792.222533140929,31.5107061987029,1,1.98343645467602e-08,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,848.556795127437,955.46162904696,-405.278397563719,810.556795127437,4.72787997358955,1,0.0296774441797019,"auc_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,831.465445197657,938.370279117179,-396.732722598828,793.465445197657,30.2677941419753,1,3.7632287398573e-08,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,832.084499642322,938.989333561844,-397.042249821161,794.084499642322,21.2001754587048,1,4.13726635975408e-06,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,861.660193934182,968.565027853704,-411.830096967091,823.660193934182,0.0730454054502161,1,0.786953208592527,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,851.85976378115,958.764597700673,-406.929881890575,813.85976378115,1.42491131987617,1,0.232596712430035,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,832.995474306311,939.900308225833,-397.497737153155,794.995474306311,28.737765033321,1,8.28718190764366e-08,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit",19,829.839836728016,936.744670647538,-395.919918364008,791.839836728016,23.4448383730107,1,1.28547158255286e-06,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gemma-2-27b",NA
