"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,4587.0896833205,4687.12419554957,-2275.54484166025,4551.0896833205,NA,NA,NA,"baseline_final","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4586.85742176766,4692.44940689834,-2274.42871088383,4548.85742176766,2.23226155283919,1,0.13515589087741,"auc_entropy","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",18,4593.21873317483,4693.2532454039,-2278.60936658742,4557.21873317483,NA,NA,NA,"baseline_midpoint","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4591.02421483056,4696.61619996124,-2276.51210741528,4553.02421483056,4.19451834426945,1,0.040554872180943,"auc_entropy","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.60484459987,4694.19682973055,-2275.30242229993,4550.60484459987,0.484838720636617,1,0.486238711382783,"layer_biggest_change_entropy","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4592.5418199252,4698.13380505588,-2277.2709099626,4554.5418199252,2.67691324963289,1,0.101812902422219,"layer_biggest_change_entropy","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4586.43538114462,4692.0273662753,-2274.21769057231,4548.43538114462,2.65430217588164,1,0.103270067648475,"auc_rank_correct","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4592.53253258239,4698.12451771307,-2277.26626629119,4554.53253258239,2.6862005924404,1,0.101220909943349,"auc_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4587.06052285056,4692.65250798124,-2274.53026142528,4549.06052285056,2.02916046994051,1,0.154305824175084,"layer_biggest_change_rank_correct","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4590.58627265942,4696.1782577901,-2276.29313632971,4552.58627265942,4.63246051540773,1,0.0313725412083935,"layer_biggest_change_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4586.64574098154,4692.23772611222,-2274.32287049077,4548.64574098154,2.44394233896401,1,0.117979382818275,"auc_logprob_correct","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4595.21864360467,4700.81062873535,-2278.60932180233,4557.21864360467,8.9570164163888e-05,1,0.992448812340933,"auc_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.95591591445,4694.54790104513,-2275.47795795723,4550.95591591445,0.133767406050538,1,0.714557403333813,"layer_biggest_change_logprob_correct","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.90285220595,4695.49483733663,-2275.95142610298,4551.90285220595,5.31588096887572,1,0.0211319064753572,"layer_biggest_change_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4586.95169781567,4692.54368294635,-2274.47584890784,4548.95169781567,2.13798550482989,1,0.143690471250563,"auc_logprobdiff_pos","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.38528267679,4694.97726780747,-2275.6926413384,4551.38528267679,5.83345049803938,1,0.0157242525262882,"auc_logprobdiff_pos","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.57280702505,4694.16479215573,-2275.28640351252,4550.57280702505,0.516876295454495,1,0.472177215637644,"auc_logprobdiff_neg","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.64281494291,4694.23480007359,-2275.32140747145,4550.64281494291,6.57591823192342,1,0.0103367662855341,"auc_logprobdiff_neg","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.47149360308,4694.06347873376,-2275.23574680154,4550.47149360308,0.618189717418318,1,0.43172079476616,"layer_biggest_change_logprobdiff","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4594.89157900787,4700.48356413855,-2278.44578950394,4556.89157900787,0.327154166957371,1,0.567339642255695,"layer_biggest_change_logprobdiff","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.0307730707,4693.62275820138,-2275.01538653535,4550.0307730707,1.05891024980519,1,0.303463863322384,"auc_boosting_pos","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4592.47981446239,4698.07179959307,-2277.23990723119,4554.47981446239,2.73891871244268,1,0.097931011769331,"auc_boosting_pos","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.08710478581,4694.67908991649,-2275.54355239291,4551.08710478581,0.00257853468792746,1,0.95950140636202,"auc_boosting_neg","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4594.710770525,4700.30275565568,-2278.3553852625,4556.710770525,0.507962649830915,1,0.476022141868034,"auc_boosting_neg","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4588.33504756621,4693.92703269689,-2275.16752378311,4550.33504756621,0.754635754288756,1,0.385012480787502,"layer_argmax_boosting","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.27428129935,4694.86626643003,-2275.63714064968,4551.27428129935,5.94445187547626,1,0.014763681583062,"layer_argmax_boosting","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.08410415458,4694.67608928526,-2275.54205207729,4551.08410415458,0.00557916592697438,1,0.940458329227583,"twostage_magnitude","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.21744216703,4694.80942729771,-2275.60872108352,4551.21744216703,6.00129100779577,1,0.0142954139870335,"twostage_magnitude","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4589.02974038045,4694.62172551113,-2275.51487019023,4551.02974038045,0.0599429400499503,1,0.80658614880335,"twostage_magnitude_latter34","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4592.08066712673,4697.67265225741,-2277.04033356337,4554.08066712673,3.13806604809815,1,0.0764844489657792,"twostage_magnitude_latter34","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4586.38806535429,4691.98005048497,-2274.19403267715,4548.38806535429,2.70161796621142,1,0.100246467179687,"twostage_layer","baseline_final","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,4587.03009044553,4692.62207557621,-2274.51504522276,4549.03009044553,8.18864272930387,1,0.00421534492534756,"twostage_layer","baseline_midpoint","xpos_flips","filteredCorrect","OLMo-2-1124-13B",NA
