"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,4601.78859694837,4701.82310917743,-2282.89429847418,4565.78859694837,NA,NA,NA,"baseline_final","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4601.38182577134,4706.97381090202,-2281.69091288567,4563.38182577134,2.40677117702307,1,0.120811318936087,"auc_entropy","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit",18,4587.29758468555,4687.33209691462,-2275.64879234278,4551.29758468555,NA,NA,NA,"baseline_midpoint","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.29914302035,4691.89112815103,-2274.14957151017,4548.29914302035,2.99844166520688,1,0.08334464647195,"auc_entropy","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4602.57013412924,4708.16211925992,-2282.28506706462,4564.57013412924,1.21846281913167,1,0.269662535448255,"layer_biggest_change_entropy","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4587.1509045901,4692.74288972078,-2274.57545229505,4549.1509045901,2.14668009545494,1,0.142878548026815,"layer_biggest_change_entropy","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4598.24499076398,4703.83697589466,-2280.12249538199,4560.24499076398,5.54360618438568,1,0.0185483226753573,"auc_rank_correct","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.52317594914,4692.11516107982,-2274.26158797457,4548.52317594914,2.77440873641808,1,0.0957820206415867,"auc_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4599.13567308158,4704.72765821225,-2280.56783654079,4561.13567308158,4.65292386679175,1,0.0310007003950965,"layer_biggest_change_rank_correct","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4588.86212569139,4694.45411082207,-2275.4310628457,4550.86212569139,0.435458994164037,1,0.509322388321441,"layer_biggest_change_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4603.43866962051,4709.03065475119,-2282.71933481025,4565.43866962051,0.349927327859405,1,0.554154270885117,"auc_logprob_correct","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.75269128772,4692.3446764184,-2274.37634564386,4548.75269128772,2.54489339783049,1,0.110651379034019,"auc_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4596.98976252546,4702.58174765614,-2279.49488126273,4558.98976252546,6.79883442290247,1,0.00912174031644392,"layer_biggest_change_logprob_correct","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4587.95610370142,4693.5480888321,-2274.97805185071,4549.95610370142,1.34148098413698,1,0.246772962477215,"layer_biggest_change_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4589.32406675102,4694.9160518817,-2275.66203337551,4551.32406675102,14.4645301973515,1,0.000142823781998236,"auc_logprobdiff_pos","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.46945441494,4692.06143954562,-2274.23472720747,4548.46945441494,2.82813027061729,1,0.0926261408581425,"auc_logprobdiff_pos","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4590.66774014557,4696.25972527625,-2276.33387007279,4552.66774014557,13.1208568027942,1,0.000292026451377496,"auc_logprobdiff_neg","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4587.20269416293,4692.79467929361,-2274.60134708146,4549.20269416293,2.09489052262779,1,0.147792297764261,"auc_logprobdiff_neg","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4594.30733679701,4699.89932192769,-2278.15366839851,4556.30733679701,9.48126015135404,1,0.00207581334142372,"layer_biggest_change_logprobdiff","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4588.83972414702,4694.4317092777,-2275.41986207351,4550.83972414702,0.457860538533168,1,0.498625554337096,"layer_biggest_change_logprobdiff","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4594.75263414612,4700.3446192768,-2278.37631707306,4556.75263414612,9.03596280224883,1,0.00264719597084394,"auc_boosting_pos","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.97730823761,4692.56929336829,-2274.4886541188,4548.97730823761,2.32027644794562,1,0.127697329839088,"auc_boosting_pos","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.97403040317,4692.56601553385,-2274.48701520159,4548.97403040317,16.8145665451921,1,4.12157151037615e-05,"auc_boosting_neg","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4589.17348238356,4694.76546751424,-2275.58674119178,4551.17348238356,0.124102301994753,1,0.724627111114734,"auc_boosting_neg","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4591.05845137688,4696.65043650756,-2276.52922568844,4553.05845137688,12.7301455714833,1,0.00035980853631514,"layer_argmax_boosting","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4587.90441437858,4693.49639950926,-2274.95220718929,4549.90441437858,1.39317030697021,1,0.237870439507321,"layer_argmax_boosting","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4603.63865243704,4709.23063756772,-2282.81932621852,4565.63865243704,0.149944511325884,1,0.698588390899996,"twostage_magnitude","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4587.55604030971,4693.14802544039,-2274.77802015485,4549.55604030971,1.74154437584457,1,0.186943263038136,"twostage_magnitude","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4595.82013853729,4701.41212366797,-2278.91006926865,4557.82013853729,7.96845841107552,1,0.00475994592446837,"twostage_magnitude_latter34","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.43495638467,4692.02694151535,-2274.21747819233,4548.43495638467,2.8626283008889,1,0.0906592548813612,"twostage_magnitude_latter34","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4586.33045462826,4691.92243975894,-2274.16522731413,4548.33045462826,17.4581423201034,1,2.93703602201249e-05,"twostage_layer","baseline_final","xpos_flips","filteredCorrect","gpt2-xl",NA
"critical_fit",19,4588.01591521699,4693.60790034767,-2275.0079576085,4550.01591521699,1.28166946855981,1,0.257588856508454,"twostage_layer","baseline_midpoint","xpos_flips","filteredCorrect","gpt2-xl",NA
