"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2197.09259177858,2281.02693115938,-1081.54629588929,2163.09259177858,NA,NA,NA,"baseline_final","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2195.22513850326,2284.09679196529,-1079.61256925163,2159.22513850326,3.8674532753148,1,0.0492311705846003,"auc_entropy","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit",17,2144.93932917531,2228.87366855612,-1055.46966458766,2110.93932917531,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2141.61963252081,2230.49128598284,-1052.80981626041,2105.61963252081,5.3196966545047,1,0.0210856817820465,"auc_entropy","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2186.36624461313,2275.23789807515,-1075.18312230656,2150.36624461313,12.726347165451,1,0.000360540052032803,"layer_biggest_change_entropy","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2145.78908039231,2234.66073385434,-1054.89454019616,2109.78908039231,1.15024878300028,1,0.283497076687846,"layer_biggest_change_entropy","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2185.07826495746,2273.94991841949,-1074.53913247873,2149.07826495746,14.0143268211145,1,0.000181423017956915,"auc_rank_correct","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2142.74179683453,2231.61345029656,-1053.37089841727,2106.74179683453,4.19753234078144,1,0.0404828479712524,"auc_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2183.72322843381,2272.59488189584,-1073.86161421691,2147.72322843381,15.3693633447679,1,8.84101997116315e-05,"layer_biggest_change_rank_correct","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2141.1996753324,2230.07132879443,-1052.5998376662,2105.1996753324,5.73965384291341,1,0.0165860610076896,"layer_biggest_change_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2187.47172823117,2276.34338169319,-1075.73586411558,2151.47172823117,11.6208635474118,1,0.000652161152970089,"auc_logprob_correct","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2146.7706842979,2235.64233775992,-1055.38534214895,2110.7706842979,0.168644877417591,1,0.681318966650709,"auc_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2196.07134894314,2284.94300240516,-1080.03567447157,2160.07134894314,3.02124283544208,1,0.0821804639119708,"layer_biggest_change_logprob_correct","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2146.88813033905,2235.75978380108,-1055.44406516952,2110.88813033905,0.0511988362659395,1,0.820990186725867,"layer_biggest_change_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2198.44273152148,2287.3143849835,-1081.22136576074,2162.44273152148,0.649860257103228,1,0.42016264570661,"auc_logprobdiff_pos","baseline_final","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,2135.73648629643,2224.60813975846,-1049.86824314822,2099.73648629643,11.2028428788808,1,0.000816721118729829,"auc_logprobdiff_pos","baseline_midpoint","n_backspace","filteredCorrect","Llama-2-7b-hf",NA
