"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",9,2184.38642560934,2228.82225234035,-1083.19321280467,2166.38642560934,NA,NA,NA,"baseline_final","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2185.02792136139,2234.40106217362,-1082.51396068069,2165.02792136139,1.3585042479508,1,0.243796876741812,"auc_entropy","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"baseline_midpoint_fit",17,2186.47978051766,2270.41411989847,-1076.23989025883,2152.47978051766,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2187.43335576247,2276.3050092245,-1075.71667788124,2151.43335576247,1.04642475519177,1,0.306331937108597,"auc_entropy","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2184.71577632778,2234.08891714002,-1082.35788816389,2164.71577632778,1.67064928155514,1,0.196171591125094,"layer_biggest_change_entropy","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2188.27477207664,2277.14642553866,-1076.13738603832,2152.27477207664,0.205008441025711,1,0.650708190345587,"layer_biggest_change_entropy","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2169.30231723829,2218.67545805053,-1074.65115861914,2149.30231723829,17.0841083710493,1,3.57602870520577e-05,"auc_rank_correct","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2181.58786589948,2270.4595193615,-1072.79393294974,2145.58786589948,6.89191461818837,1,0.00865864785770542,"auc_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2177.2958880782,2226.66902889044,-1078.6479440391,2157.2958880782,9.09053753113676,1,0.00256935345917306,"layer_biggest_change_rank_correct","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2187.9706148074,2276.84226826942,-1075.9853074037,2151.9706148074,0.509165710265279,1,0.475500236906327,"layer_biggest_change_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2177.37737138975,2226.75051220199,-1078.68868569487,2157.37737138975,9.00905421958942,1,0.00268645400345726,"auc_logprob_correct","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2179.78510024959,2268.65675371162,-1071.8925501248,2143.78510024959,8.6946802680709,1,0.00319140093986985,"auc_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2184.18780749881,2233.56094831105,-1082.0939037494,2164.18780749881,2.19861811052942,1,0.138134522098323,"layer_biggest_change_logprob_correct","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2184.02244431108,2272.8940977731,-1074.01122215554,2148.02244431108,4.45733620658666,1,0.0347516502836686,"layer_biggest_change_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2182.69319646591,2232.06633727815,-1081.34659823296,2162.69319646591,3.69322914342456,1,0.0546337480639087,"auc_logprobdiff_pos","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2188.3763838368,2277.24803729883,-1076.1881919184,2152.3763838368,0.103396680862716,1,0.747790943449793,"auc_logprobdiff_pos","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2175.36761556145,2224.74075637369,-1077.68380778072,2155.36761556145,11.0188100478899,1,0.000901919507970869,"auc_logprobdiff_neg","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2148.0852518327,2236.95690529472,-1056.04262591635,2112.0852518327,40.3945286849676,1,2.07521426538817e-10,"auc_logprobdiff_neg","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2185.90929308024,2235.28243389248,-1082.95464654012,2165.90929308024,0.477132529098981,1,0.489724042027536,"layer_biggest_change_logprobdiff","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2187.59610974541,2276.46776320743,-1075.7980548727,2151.59610974541,0.883670772257574,1,0.347198251775191,"layer_biggest_change_logprobdiff","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2178.40768452174,2227.78082533397,-1079.20384226087,2158.40768452174,7.97874108760288,1,0.004732984399115,"auc_boosting_pos","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2173.43276950948,2262.3044229715,-1068.71638475474,2137.43276950948,15.0470110081847,1,0.000104866194961288,"auc_boosting_pos","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2170.59926943205,2219.97241024429,-1075.29963471603,2150.59926943205,15.7871561772863,1,7.08820573359372e-05,"auc_boosting_neg","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2174.59550731009,2263.46716077212,-1069.29775365505,2138.59550731009,13.8842732075723,1,0.000194418516194126,"auc_boosting_neg","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2185.6376733607,2235.01081417293,-1082.81883668035,2165.6376733607,0.748752248641267,1,0.386871563979485,"layer_argmax_boosting","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2182.26350166941,2271.13515513144,-1073.1317508347,2146.26350166941,6.21627884825466,1,0.0126580882534965,"layer_argmax_boosting","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2166.44842327902,2215.82156409126,-1073.22421163951,2146.44842327902,19.9380023303147,1,7.99943543756854e-06,"twostage_magnitude","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2148.73797657527,2237.60963003729,-1056.36898828763,2112.73797657527,39.7418039423978,1,2.89854434489962e-10,"twostage_magnitude","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2174.5075365503,2223.88067736254,-1077.25376827515,2154.5075365503,11.8788890590358,1,0.000567737956422117,"twostage_magnitude_latter34","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2146.84604657847,2235.7177000405,-1055.42302328923,2110.84604657847,41.6337339391948,1,1.10077428138672e-10,"twostage_magnitude_latter34","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",10,2181.45522640559,2230.82836721783,-1080.7276132028,2161.45522640559,4.93119920374693,1,0.0263760076224286,"twostage_layer","baseline_final","n_backspace","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",18,2186.23628991894,2275.10794338096,-1075.11814495947,2150.23628991894,2.24349059872839,1,0.134177780847794,"twostage_layer","baseline_midpoint","n_backspace","filteredCorrect","Llama-3.1-70B",NA
