"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2160.10926994943,2244.04360933023,-1063.05463497471,2126.10926994943,NA,NA,NA,"baseline_final","baseline_final","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2146.53675599947,2235.4084094615,-1055.26837799974,2110.53675599947,15.5725139499536,1,7.94004781332718e-05,"auc_entropy","baseline_final","n_backspace","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit",17,2152.82760359891,2236.76194297971,-1059.41380179945,2118.82760359891,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2150.50850631559,2239.38015977762,-1057.25425315779,2114.50850631559,4.31909728332039,1,0.0376869099959303,"auc_entropy","baseline_midpoint","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2161.18028322062,2250.05193668265,-1062.59014161031,2125.18028322062,0.928986728808923,1,0.33512636144413,"layer_biggest_change_entropy","baseline_final","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2153.52194633072,2242.39359979275,-1058.76097316536,2117.52194633072,1.30565726818895,1,0.253182438425326,"layer_biggest_change_entropy","baseline_midpoint","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2157.90903657864,2246.78069004067,-1060.95451828932,2121.90903657864,4.20023337078601,1,0.0404184166818854,"auc_rank_correct","baseline_final","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2151.83661262493,2240.70826608696,-1057.91830631247,2115.83661262493,2.99099097397902,1,0.0837289150767288,"auc_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2156.80264282023,2245.67429628225,-1060.40132141011,2120.80264282023,5.30662712920184,1,0.0212444472527753,"layer_biggest_change_rank_correct","baseline_final","n_backspace","filteredCorrect","gpt2-medium",NA
"critical_fit",18,2153.90949464199,2242.78114810401,-1058.95474732099,2117.90949464199,0.918108956921515,1,0.337971988787017,"layer_biggest_change_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","gpt2-medium",NA
