"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",13,-41.619830816628,22.5526247492146,33.809915408314,-67.619830816628,NA,NA,NA,"baseline_final","baseline_final","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",14,-41.7682868283952,27.3405114732815,34.8841434141976,-69.7682868283952,2.14845601176724,1,0.142713343990486,"auc_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"baseline_midpoint_fit",18,-19.1614349553785,69.6927342896343,27.5807174776893,-55.1614349553785,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",19,-20.1949586335573,73.5955533472897,29.0974793167786,-58.1949586335573,3.03352367817874,1,0.0815607118671913,"auc_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",14,-40.2023872557088,28.9064110459679,34.1011936278544,-68.2023872557088,0.582556439080776,1,0.445312019429866,"layer_biggest_change_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",19,-17.1972150001768,76.5932969806701,27.5986075000884,-55.1972150001768,0.0357800447982726,1,0.84997044327816,"layer_biggest_change_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",14,-40.0513012308888,29.0574970707879,34.0256506154444,-68.0513012308888,0.431470414260815,1,0.51126831907246,"auc_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",19,-27.8027266528231,65.9877853280238,32.9013633264115,-65.8027266528231,10.6412916974445,1,0.00110590405771415,"auc_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",14,-39.9233200213891,29.1854782802876,33.9616600106945,-67.9233200213891,0.303489204761092,1,0.58170322627033,"layer_biggest_change_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",19,-25.2210253686497,68.5694866121972,31.6105126843249,-63.2210253686497,8.05959041327121,1,0.00452634150276954,"layer_biggest_change_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","Llama-2-70b-hf",NA
