"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,-26.0499871510499,62.8041820939629,31.024993575525,-62.04998715105,NA,NA,NA,"baseline_final","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-28.0052660299704,65.7852459508766,33.0026330149852,-66.0052660299704,3.95527887892041,1,0.0467245753827535,"auc_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"baseline_midpoint_fit",18,-29.6620620935085,59.1921071515043,32.8310310467543,-65.6620620935085,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-29.4597448119509,64.330767168896,33.7298724059754,-67.4597448119509,1.79768271844236,1,0.179992895566846,"auc_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-24.3142426093304,69.4762693715166,31.1571213046652,-62.3142426093304,0.264255458280417,1,0.607211555524947,"layer_biggest_change_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-30.3038622077202,63.4866497731268,34.1519311038601,-68.3038622077202,2.64180011421163,1,0.104085547174508,"layer_biggest_change_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-26.7051499001892,67.0853620806578,32.3525749500946,-64.7051499001892,2.65516274913922,1,0.10321419236887,"auc_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-29.4940764537575,64.2964355270894,33.7470382268788,-67.4940764537575,1.83201436024896,1,0.175889804485587,"auc_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-24.4275224699727,69.3629895108742,31.2137612349864,-62.4275224699727,0.377535318922781,1,0.538925252455877,"layer_biggest_change_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-27.6621028226386,66.1284091582084,32.8310514113193,-65.6621028226386,4.07291300206225e-05,1,0.99490798493086,"layer_biggest_change_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-25.2963113515631,68.4942006292838,31.6481556757815,-63.2963113515631,1.24632420051314,1,0.264255698075675,"auc_logprob_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-28.071007427632,65.7195045532149,33.035503713816,-66.071007427632,0.408945334123501,1,0.522505298017818,"auc_logprob_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-24.6637609447044,69.1267510361425,31.3318804723522,-62.6637609447044,0.613773793654502,1,0.433370438044672,"auc_logprobdiff_pos","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-27.6774374204719,66.113074560375,32.838718710236,-65.6774374204719,0.0153753269633796,1,0.901317423848883,"auc_logprobdiff_pos","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-25.8950697253509,67.895442255496,31.9475348626754,-63.8950697253509,1.84508257430095,1,0.174356404921841,"auc_logprobdiff_neg","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-27.7699394586251,66.0205725222219,32.8849697293125,-65.7699394586251,0.107877365116522,1,0.7425737880431,"auc_logprobdiff_neg","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-24.1292844866438,69.6612274942032,31.0646422433219,-62.1292844866438,0.0792973355938074,1,0.77825190739572,"layer_biggest_change_logprobdiff","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,-28.101899180908,65.6886127999389,33.050949590454,-66.101899180908,0.439837087399454,1,0.507201096809767,"layer_biggest_change_logprobdiff","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-9b",NA
