"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,-33.3082492118617,55.5459200331512,34.6541246059309,-69.3082492118617,NA,NA,NA,"baseline_final","baseline_final","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-38.7656918175946,55.0248201632523,38.3828459087973,-76.7656918175946,7.45744260573288,1,0.00631746948019123,"auc_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit",18,-37.101763269272,51.7524059757409,36.550881634636,-73.101763269272,NA,NA,NA,"baseline_midpoint","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.2980768490359,58.492435131811,36.649038424518,-73.2980768490359,0.196313579763881,1,0.657713018380893,"auc_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.324614210729,58.4658977701179,36.6623071053645,-73.324614210729,4.01636499886732,1,0.0450607338458026,"layer_biggest_change_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.8582704778985,57.9322415029484,36.9291352389492,-73.8582704778985,0.756507208626473,1,0.384423797914552,"layer_biggest_change_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-33.4076590715137,60.3828529093333,35.7038295357568,-71.4076590715137,2.09940985965196,1,0.147356003107925,"auc_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.2362610547581,58.5542509260889,36.618130527379,-73.2362610547581,0.134497785486062,1,0.713813416318975,"auc_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.9741989129739,57.8163130678731,36.9870994564869,-73.9741989129739,4.66594970111215,1,0.0307664036448236,"layer_biggest_change_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
"critical_fit",19,-35.2969470897014,58.4935648911455,36.6484735448507,-73.2969470897014,0.195183820429406,1,0.658636739317981,"layer_biggest_change_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gpt2-xl",NA
