"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,2251.2095491001,2313.75228277368,-1114.60477455005,2229.2095491001,NA,NA,NA,"baseline_final","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2229.57749806732,2297.80593480214,-1102.78874903366,2205.57749806732,23.6320510327778,1,1.16628676186224e-06,"auc_entropy","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"baseline_midpoint_fit",17,2242.55705763008,2339.21400967107,-1104.27852881504,2208.55705763008,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2233.62513157262,2335.96778667484,-1098.81256578631,2197.62513157262,10.9319260574621,1,0.00094521180309295,"auc_entropy","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2207.06541789647,2275.29385463128,-1091.53270894823,2183.06541789647,46.1441312036336,1,1.0986562441125e-11,"layer_biggest_change_entropy","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2226.66453530327,2329.00719040549,-1095.33226765163,2190.66453530327,17.8925223268134,1,2.3373769237867e-05,"layer_biggest_change_entropy","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2225.30798455179,2293.53642128661,-1100.6539922759,2201.30798455179,27.9015645483069,1,1.2764651195055e-07,"auc_rank_correct","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2244.20783590547,2346.55049100769,-1104.10391795273,2208.20783590547,0.349221724612107,1,0.554554023832347,"auc_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2227.23750247969,2295.46593921451,-1101.61875123985,2203.23750247969,25.9720466204062,1,3.46396849668474e-07,"layer_biggest_change_rank_correct","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2244.19524211806,2346.53789722028,-1104.09762105903,2208.19524211806,0.361815512018438,1,0.547499671476415,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2210.7714217069,2278.99985844171,-1093.38571085345,2186.7714217069,42.4381273932004,1,7.2953919302809e-11,"auc_logprob_correct","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2244.52806077875,2346.87071588097,-1104.26403038937,2208.52806077875,0.0289968513338863,1,0.864786307172188,"auc_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2247.98265916429,2316.21109589911,-1111.99132958215,2223.98265916429,5.22688993580823,1,0.0222402653604052,"layer_biggest_change_logprob_correct","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2241.75576192907,2344.09841703129,-1102.87788096453,2205.75576192907,2.8012957010128,1,0.0941881633695465,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2226.88338700663,2295.11182374145,-1101.44169350332,2202.88338700663,26.3261620934668,1,2.8835600946414e-07,"auc_logprobdiff_pos","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2231.05051476922,2333.39316987144,-1097.52525738461,2195.05051476922,13.5065428608664,1,0.000237733105648531,"auc_logprobdiff_pos","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2244.65986478431,2312.88830151912,-1110.32993239215,2220.65986478431,8.54968431579164,1,0.00345582151917532,"auc_logprobdiff_neg","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2244.55236437491,2346.89501947713,-1104.27618218745,2208.55236437491,0.00469325517269681,1,0.945381780009564,"auc_logprobdiff_neg","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",12,2249.86027893748,2318.0887156723,-1112.93013946874,2225.86027893748,3.34927016261872,1,0.0672348173365872,"layer_biggest_change_logprobdiff","baseline_final","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
"critical_fit",18,2241.8489588515,2344.19161395372,-1102.92447942575,2205.8489588515,2.70809877857846,1,0.0998399160948,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct_gpt4","all_trials","Falcon3-10B-Base",NA
