"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2281.1341548415,2377.79110688249,-1123.56707742075,2247.1341548415,NA,NA,NA,"baseline_final","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2282.94470470643,2385.28735980865,-1123.47235235321,2246.94470470643,0.189450135075276,1,0.663374659808984,"auc_entropy","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"baseline_midpoint_fit",17,2270.6595246798,2367.31647672079,-1118.3297623399,2236.6595246798,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2271.8704957812,2374.21315088342,-1117.9352478906,2235.8704957812,0.789028898600918,1,0.374393926827277,"auc_entropy","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2263.08540578229,2365.42806088452,-1113.54270289115,2227.08540578229,20.0487490592091,1,7.54928985737034e-06,"layer_biggest_change_entropy","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2247.214718203,2349.55737330522,-1105.6073591015,2211.214718203,25.4448064768053,1,4.55221470309541e-07,"layer_biggest_change_entropy","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2269.54749052697,2371.89014562919,-1116.77374526348,2233.54749052697,13.5866643145382,1,0.000227798059600562,"auc_rank_correct","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2255.23862126814,2357.58127637036,-1109.61931063407,2219.23862126814,17.4209034116625,1,2.99513954820477e-05,"auc_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2270.3900914044,2372.73274650663,-1117.1950457022,2234.3900914044,12.7440634370992,1,0.000357140932819076,"layer_biggest_change_rank_correct","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2258.72489493999,2361.06755004221,-1111.36244746999,2222.72489493999,13.9346297398124,1,0.000189278965343206,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2272.76977215419,2375.11242725641,-1118.38488607709,2236.76977215419,10.3643826873144,1,0.00128469850288088,"auc_logprob_correct","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2262.45772396016,2364.80037906238,-1113.22886198008,2226.45772396016,10.2018007196461,1,0.0014030358465175,"auc_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2266.80230633702,2369.14496143924,-1115.40115316851,2230.80230633702,16.3318485044824,1,5.31629188286494e-05,"layer_biggest_change_logprob_correct","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2256.91698387166,2359.25963897388,-1110.45849193583,2220.91698387166,15.7425408081403,1,7.25735361307755e-05,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2281.55148511649,2383.89414021871,-1122.77574255824,2245.55148511649,1.58266972501451,1,0.208376559907041,"auc_logprobdiff_pos","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2271.51394797512,2373.85660307734,-1117.75697398756,2235.51394797512,1.14557670468139,1,0.284477018191722,"auc_logprobdiff_pos","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2274.71235082066,2377.05500592288,-1119.35617541033,2238.71235082066,8.42180402084659,1,0.00370747752001864,"auc_logprobdiff_neg","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2264.88406763287,2367.2267227351,-1114.44203381644,2228.88406763287,7.77545704692784,1,0.00529608150942323,"auc_logprobdiff_neg","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2278.28810439961,2380.63075950183,-1121.1440521998,2242.28810439961,4.84605044189766,1,0.0277095106061484,"layer_biggest_change_logprobdiff","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2272.03887412793,2374.38152923015,-1118.01943706396,2236.03887412793,0.62065055187486,1,0.430805639543193,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2283.00742018281,2385.35007528503,-1123.5037100914,2247.00742018281,0.126734658694659,1,0.721841975991261,"auc_boosting_pos","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2270.57474831578,2372.91740341801,-1117.28737415789,2234.57474831578,2.08477636401813,1,0.148774008737925,"auc_boosting_pos","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2272.9834084033,2375.32606350552,-1118.49170420165,2236.9834084033,10.150746438203,1,0.00144242825791511,"auc_boosting_neg","baseline_final","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2265.88877656063,2368.23143166285,-1114.94438828031,2229.88877656063,6.77074811917237,1,0.00926639834975278,"auc_boosting_neg","baseline_midpoint","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
