"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",10,2293.59689632629,2350.45392693864,-1136.79844816314,2273.59689632629,NA,NA,NA,"baseline_final","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",11,2294.73732272788,2357.28005640146,-1136.36866136394,2272.73732272788,0.859573598414045,1,0.353858044531404,"auc_entropy","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",17,2206.13379227919,2302.79074432018,-1086.0668961396,2172.13379227919,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,2204.4031456769,2306.74580077913,-1084.20157283845,2168.4031456769,3.73064660228601,1,0.053422709245756,"auc_entropy","baseline_midpoint","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",11,2280.78735360617,2343.33008727975,-1129.39367680309,2258.78735360617,14.8095427201192,1,0.000118932155560707,"layer_biggest_change_entropy","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,2194.82093870508,2297.1635938073,-1079.41046935254,2158.82093870508,13.3128535741093,1,0.000263592898253974,"layer_biggest_change_entropy","baseline_midpoint","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",11,2289.82320682929,2352.36594050287,-1133.91160341464,2267.82320682929,5.77368949699985,1,0.0162678460408107,"auc_rank_correct","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,2197.89242125412,2300.23507635634,-1080.94621062706,2161.89242125412,10.241371025068,1,0.00137325480856783,"auc_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",11,2293.1751134505,2355.71784712408,-1135.58755672525,2271.1751134505,2.42178287578463,1,0.119658675054415,"layer_biggest_change_rank_correct","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,2191.74827597714,2294.09093107937,-1077.87413798857,2155.74827597714,16.3855163020471,1,5.16786187934345e-05,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
"critical_fit",11,2288.50183031877,2351.04456399235,-1133.25091515939,2266.50183031877,7.09506600751865,1,0.00772964451618683,"auc_logprob_correct","baseline_final","response_correct_gpt4","all_trials","OLMo-2-1124-13B",NA
