"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2279.0152344833,2375.67218652429,-1122.50761724165,2245.0152344833,NA,NA,NA,"baseline_final","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2280.09096627405,2382.43362137627,-1122.04548313702,2244.09096627405,0.924268209252659,1,0.336356769913141,"auc_entropy","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"baseline_midpoint_fit",17,2238.21722302839,2334.87417506938,-1102.10861151419,2204.21722302839,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2240.12308931162,2342.46574441384,-1102.06154465581,2204.12308931162,0.0941337167678284,1,0.758986333131853,"auc_entropy","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2278.69135141689,2381.03400651911,-1121.34567570845,2242.69135141689,2.32388306640905,1,0.127401638481693,"layer_biggest_change_entropy","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2223.71306654007,2326.05572164229,-1093.85653327004,2187.71306654007,16.5041564883168,1,4.85435405768309e-05,"layer_biggest_change_entropy","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2280.99084281267,2383.33349791489,-1122.49542140634,2244.99084281267,0.0243916706285745,1,0.875892457613485,"auc_rank_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2239.32701292458,2341.6696680268,-1101.66350646229,2203.32701292458,0.890210103806112,1,0.345420378125507,"auc_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2279.17807623425,2381.52073133647,-1121.58903811713,2243.17807623425,1.83715824904721,1,0.175284383367015,"layer_biggest_change_rank_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2239.57195284076,2341.91460794298,-1101.78597642038,2203.57195284076,0.645270187628739,1,0.421808804160208,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit",18,2268.55370532959,2370.89636043181,-1116.27685266479,2232.55370532959,12.4615291537134,1,0.000415419718450698,"auc_logprob_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
