"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2242.91471278262,2339.57166482361,-1104.45735639131,2208.91471278262,NA,NA,NA,"baseline_final","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2234.01222140371,2336.35487650594,-1099.00611070186,2198.01222140371,10.9024913789049,1,0.000960350083336515,"auc_entropy","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"baseline_midpoint_fit",17,2302.94730414631,2399.60425618729,-1134.47365207315,2268.94730414631,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2304.91245147723,2407.25510657945,-1134.45622573861,2268.91245147723,0.0348526690791005,1,0.851904719849597,"auc_entropy","baseline_midpoint","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2235.55047365404,2337.89312875626,-1099.77523682702,2199.55047365404,9.364239128583,1,0.0022125982651509,"layer_biggest_change_entropy","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2301.88699715025,2404.22965225247,-1132.94349857513,2265.88699715025,3.06030699605435,1,0.080226510401909,"layer_biggest_change_entropy","baseline_midpoint","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2244.13139268588,2346.4740477881,-1104.06569634294,2208.13139268588,0.783320096737498,1,0.376127655673226,"auc_rank_correct","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2301.7697248903,2404.11237999252,-1132.88486244515,2265.7697248903,3.17757925600517,1,0.0746552553676082,"auc_rank_correct","baseline_midpoint","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2244.78353184646,2347.12618694868,-1104.39176592323,2208.78353184646,0.131180936155943,1,0.717210732606261,"layer_biggest_change_rank_correct","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2302.52589272168,2404.8685478239,-1133.26294636084,2266.52589272168,2.42141142462879,1,0.11968704886682,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_strict","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,2244.82314005409,2347.16579515631,-1104.41157002704,2208.82314005409,0.0915727285328103,1,0.762187197935851,"auc_logprob_correct","baseline_final","response_correct_strict","all_trials","Falcon3-1B-Base",NA
