"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2285.48338577162,2382.1403378126,-1125.74169288581,2251.48338577162,NA,NA,NA,"baseline_final","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2268.42909557538,2370.7717506776,-1116.21454778769,2232.42909557538,19.0542901962408,1,1.27051820633472e-05,"auc_entropy","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"baseline_midpoint_fit",17,2282.40242340546,2379.05937544645,-1124.20121170273,2248.40242340546,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2283.23955744537,2385.58221254759,-1123.61977872268,2247.23955744537,1.16286596009331,1,0.280871957583036,"auc_entropy","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2284.5180819839,2386.86073708612,-1124.25904099195,2248.5180819839,2.96530378771649,1,0.0850684776962634,"layer_biggest_change_entropy","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2278.11350892648,2380.4561640287,-1121.05675446324,2242.11350892648,6.28891447898513,1,0.0121495439547131,"layer_biggest_change_entropy","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2272.78475694636,2375.12741204858,-1118.39237847318,2236.78475694636,14.6986288252579,1,0.000126138164783265,"auc_rank_correct","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2276.46476789669,2378.80742299891,-1120.23238394835,2240.46476789669,7.93765550876788,1,0.00484165228334476,"auc_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2274.99628911766,2377.33894421988,-1119.49814455883,2238.99628911766,12.4870966539597,1,0.000409772548260459,"layer_biggest_change_rank_correct","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2282.71625511373,2385.05891021595,-1123.35812755686,2246.71625511373,1.68616829173288,1,0.19410684375089,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2271.79419579547,2374.13685089769,-1117.89709789773,2235.79419579547,15.6891899761522,1,7.46495964825045e-05,"auc_logprob_correct","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2280.01805321526,2382.36070831749,-1122.00902660763,2244.01805321526,4.38437019019693,1,0.0362698896894939,"auc_logprob_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2271.2663404805,2373.60899558272,-1117.63317024025,2235.2663404805,16.217045291115,1,5.64836014863246e-05,"layer_biggest_change_logprob_correct","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2272.06607202181,2374.40872712404,-1118.03303601091,2236.06607202181,12.3363513836466,1,0.000444222406744898,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2257.15834945875,2359.50100456098,-1110.57917472938,2221.15834945875,30.3250363128632,1,3.65379193310189e-08,"auc_logprobdiff_pos","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2255.33028684501,2357.67294194724,-1109.66514342251,2219.33028684501,29.0721365604459,1,6.97327258801313e-08,"auc_logprobdiff_pos","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2272.45046358576,2374.79311868799,-1118.22523179288,2236.45046358576,15.0329221858537,1,0.000105651928156102,"auc_logprobdiff_neg","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2280.18897449088,2382.5316295931,-1122.09448724544,2244.18897449088,4.2134489145792,1,0.0401047167675572,"auc_logprobdiff_neg","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2287.09865088909,2389.44130599131,-1125.54932544454,2251.09865088909,0.384734882528846,1,0.535080037369659,"layer_biggest_change_logprobdiff","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2283.77938812694,2386.12204322917,-1123.88969406347,2247.77938812694,0.623035278516454,1,0.429921588870853,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2284.60152501749,2386.94418011971,-1124.30076250874,2248.60152501749,2.88186075413159,1,0.0895824487536742,"auc_boosting_pos","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2283.76727929636,2386.10993439858,-1123.88363964818,2247.76727929636,0.635144109097382,1,0.425474675258435,"auc_boosting_pos","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2287.48008301098,2389.8227381132,-1125.74004150549,2251.48008301098,0.00330276063868951,1,0.954171082153839,"auc_boosting_neg","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2263.92258912902,2366.26524423124,-1113.96129456451,2227.92258912902,20.4798342764375,1,6.02628291410011e-06,"auc_boosting_neg","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2282.2957523576,2384.63840745982,-1123.1478761788,2246.2957523576,5.18763341401927,1,0.0227481734116502,"layer_argmax_boosting","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2278.07430407502,2380.41695917724,-1121.03715203751,2242.07430407502,6.32811933044195,1,0.0118838272337466,"layer_argmax_boosting","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2284.44412313251,2386.78677823473,-1124.22206156625,2248.44412313251,3.03926263911035,1,0.0812728260758323,"twostage_magnitude","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2283.04998465424,2385.39263975647,-1123.52499232712,2247.04998465424,1.35243875121614,1,0.244852223137669,"twostage_magnitude","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2284.62974750844,2386.97240261066,-1124.31487375422,2248.62974750844,2.85363826318098,1,0.0911674088712102,"twostage_magnitude_latter34","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2282.90000517858,2385.2426602808,-1123.45000258929,2246.90000517858,1.50241822688122,1,0.220299652819292,"twostage_magnitude_latter34","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2286.62686690419,2388.96952200642,-1125.3134334521,2250.62686690419,0.856518867423347,1,0.354714698897692,"twostage_layer","baseline_final","response_correct_strict","all_trials","gpt2-medium",NA
"critical_fit",18,2280.87966845351,2383.22232355573,-1122.43983422676,2244.87966845351,3.52275495194772,1,0.0605317518780589,"twostage_layer","baseline_midpoint","response_correct_strict","all_trials","gpt2-medium",NA
