"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",12,1227.39802333287,1286.64579230755,-601.699011666434,1203.39802333287,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1229.19407384882,1293.37915690473,-601.597036924409,1203.19407384882,0.203949484049872,1,0.651551646363231,"auc_entropy","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"baseline_midpoint_fit",18,1240.97809526687,1329.8497487289,-602.489047633437,1204.97809526687,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1239.06426855411,1332.87323609736,-600.532134277057,1201.06426855411,3.91382671275983,1,0.0478904331074453,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1227.21814798322,1291.40323103912,-600.609073991609,1201.21814798322,2.1798753496505,1,0.139825786173826,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1241.09502971963,1334.90399726288,-601.547514859815,1203.09502971963,1.88306554724477,1,0.169986136988002,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1228.55899549244,1292.74407854835,-601.27949774622,1202.55899549244,0.839027840426752,1,0.359674957014887,"auc_rank_correct","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1241.80240835164,1335.61137589489,-601.901204175819,1203.80240835164,1.17568691523593,1,0.278235806224133,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1228.87389428566,1293.05897734157,-601.43694714283,1202.87389428566,0.524129047208589,1,0.469085642922804,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1241.03489011508,1334.84385765833,-601.517445057542,1203.03489011508,1.94320515179106,1,0.163320945933514,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1227.73630691481,1291.92138997072,-600.868153457406,1201.73630691481,1.66171641805636,1,0.197371735818502,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1238.78910597741,1332.59807352066,-600.394552988703,1200.78910597741,4.18898928946942,1,0.040687347668876,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1223.78571450505,1287.97079756096,-598.892857252527,1197.78571450505,5.61230882781319,1,0.0178347488720056,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1242.16490643583,1335.97387397908,-602.082453217914,1204.16490643583,0.813188831046773,1,0.367179148184456,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",13,1228.72809892564,1292.91318198154,-601.364049462818,1202.72809892564,0.669924407231974,1,0.413077963350869,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit",19,1242.92283264939,1336.73180019264,-602.461416324696,1204.92283264939,0.0552626174821853,1,0.81414662316068,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","Falcon3-10B-Base",NA
