"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,1199.30466685221,1288.17632031424,-581.652333426106,1163.30466685221,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1195.92462809649,1289.73359563974,-578.962314048243,1157.92462809649,5.38003875572645,1,0.0203684255693992,"auc_entropy","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"baseline_midpoint_fit",18,1226.66994648185,1315.54159994388,-595.334973240927,1190.66994648185,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1225.00980731291,1318.81877485616,-593.504903656454,1187.00980731291,3.66013916894576,1,0.0557289778919629,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1198.54601632423,1292.35498386748,-580.273008162115,1160.54601632423,2.75865052798144,1,0.0967298002106544,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1227.82805517369,1321.63702271694,-594.914027586846,1189.82805517369,0.841891308161394,1,0.358856415425471,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1199.33706282808,1293.14603037133,-580.668531414041,1161.33706282808,1.96760402413042,1,0.160702411103011,"auc_rank_correct","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1219.64665138434,1313.45561892759,-590.823325692169,1181.64665138434,9.02329509751462,1,0.00266560432435343,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1201.11113306654,1294.92010060979,-581.55556653327,1163.11113306654,0.193533785673253,1,0.659991609514417,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1224.17212095646,1317.98108849971,-593.086060478229,1186.17212095646,4.49782552539477,1,0.0339379839916653,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1200.19152683369,1294.00049437694,-581.095763416843,1162.19152683369,1.11314001852543,1,0.291400395370753,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1228.09806566518,1321.90703320843,-595.049032832588,1190.09806566518,0.571880816678231,1,0.449512496451193,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1184.74171016815,1278.5506777114,-573.370855084073,1146.74171016815,16.5629566840664,1,4.70613392297526e-05,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1225.57938130201,1319.38834884526,-593.789690651005,1187.57938130201,3.09056517984254,1,0.078747452223749,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1197.84424868111,1291.65321622436,-579.922124340554,1159.84424868111,3.46041817110381,1,0.0628544170967977,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1228.26912028375,1322.078087827,-595.134560141876,1190.26912028375,0.400826198101413,1,0.526662881998665,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1201.30459020874,1295.11355775199,-581.652295104372,1163.30459020874,7.66434675369965e-05,1,0.993014908709922,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1223.63550576916,1317.44447331241,-592.817752884582,1185.63550576916,5.03444071268973,1,0.0248481087712075,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1199.59839176114,1293.40735930439,-580.799195880568,1161.59839176114,1.7062750910759,1,0.191469372493376,"auc_boosting_pos","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1226.45556980896,1320.26453735221,-594.227784904482,1188.45556980896,2.21437667288887,1,0.136730276845262,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1199.45904967853,1293.26801722178,-580.729524839264,1161.45904967853,1.84561717368456,1,0.174294004643074,"auc_boosting_neg","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1228.43752886482,1322.24649640807,-595.21876443241,1190.43752886482,0.232417617032979,1,0.629736967495,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1194.22402060476,1288.03298814801,-578.11201030238,1156.22402060476,7.08064624745248,1,0.0077920903563517,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1227.29425578802,1321.10322333127,-594.647127894011,1189.29425578802,1.37569069383085,1,0.24083654492517,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1199.12817430802,1292.93714185127,-580.564087154009,1161.12817430802,2.17649254419393,1,0.140133504463165,"twostage_magnitude","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1227.68465624731,1321.49362379056,-594.842328123656,1189.68465624731,0.98529023454239,1,0.320896213150328,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1199.3634827346,1293.17245027785,-580.6817413673,1161.3634827346,1.94118411761224,1,0.163540022131301,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1228.75139068763,1322.56035823088,-595.375695343815,1190.75139068763,0,1,1,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1196.69384525663,1290.50281279988,-579.346922628315,1158.69384525663,4.61082159558123,1,0.0317708081563933,"twostage_layer","baseline_final","rt","filteredCorrect","gemma-2-9b",NA
"critical_fit",19,1228.7312724053,1322.54023994855,-595.365636202652,1190.7312724053,0,1,1,"twostage_layer","baseline_midpoint","rt","filteredCorrect","gemma-2-9b",NA
