"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,1235.44351532836,1324.31516879038,-599.721757664178,1199.44351532836,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1234.66057147132,1328.46953901457,-598.33028573566,1196.66057147132,2.78294385703634,1,0.0952729013495457,"auc_entropy","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit",18,1255.0135084974,1343.88516195943,-609.506754248701,1219.0135084974,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1255.27117860902,1349.08014615227,-608.635589304512,1217.27117860902,1.74232988837844,1,0.186843885069969,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1236.48695917612,1330.29592671937,-599.243479588058,1198.48695917612,0.956556152239955,1,0.328056080626861,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1256.96713332735,1350.7761008706,-609.483566663673,1218.96713332735,0.0463751700567627,1,0.829495268561005,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1231.05097116959,1324.85993871284,-596.525485584795,1193.05097116959,6.39254415876599,1,0.0114600661847514,"auc_rank_correct","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1241.45263290942,1335.26160045267,-601.726316454708,1203.45263290942,15.5608755879875,1,7.98907529660878e-05,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1234.24617335479,1328.05514089804,-598.123086677393,1196.24617335479,3.19734197357116,1,0.073758055015411,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1244.67842402149,1338.48739156474,-603.339212010747,1206.67842402149,12.3350844759093,1,0.000444523988965171,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1236.74069594762,1330.54966349087,-599.370347973808,1198.74069594762,0.702819380740721,1,0.401837960050729,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1234.96221395384,1328.77118149709,-598.481106976921,1196.96221395384,22.0512945435607,1,2.65460589331233e-06,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1228.2347800743,1322.04374761755,-595.117390037149,1190.2347800743,9.20873525405909,1,0.0024086303817591,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1226.19988122473,1320.00884876798,-594.099940612363,1188.19988122473,30.8136272726765,1,2.84036240661749e-08,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1233.0914192537,1326.90038679695,-597.545709626852,1195.0914192537,4.35209607465208,1,0.0369634262319109,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1254.86061453868,1348.66958208193,-608.430307269339,1216.86061453868,2.15289395872423,1,0.14230144391494,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1231.85895577405,1325.6679233173,-596.929477887027,1193.85895577405,5.5845595543019,1,0.0181194891585836,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1229.3113542441,1323.12032178735,-595.655677122051,1191.3113542441,27.7021542533007,1,1.41505042097077e-07,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1224.36635417291,1318.17532171616,-593.183177086457,1186.36635417291,13.0771611554412,1,0.000298918137221651,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1243.52405052902,1337.33301807227,-602.76202526451,1205.52405052902,13.4894579683828,1,0.000239907486359925,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1236.20494555884,1330.01391310209,-599.10247277942,1198.20494555884,1.23856976951674,1,0.265746872244877,"auc_boosting_pos","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1256.95344262463,1350.76241016788,-609.476721312314,1218.95344262463,0.0600658727746577,1,0.806391856199133,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1229.47314892497,1323.28211646822,-595.736574462486,1191.47314892497,7.97036640338501,1,0.0047549313089533,"auc_boosting_neg","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1222.72560684219,1316.53457438544,-592.362803421097,1184.72560684219,34.2879016552088,1,4.7532748821178e-09,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1236.70524594639,1330.51421348964,-599.352622973194,1198.70524594639,0.738269381968848,1,0.390215821351217,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1257.00196860395,1350.8109361472,-609.500984301976,1219.00196860395,0.0115398934499353,1,0.91445269786118,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1232.10943823797,1325.91840578122,-597.054719118986,1194.10943823797,5.33407709038443,1,0.0209124099459795,"twostage_magnitude","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1223.7625269761,1317.57149451935,-592.881263488049,1185.7625269761,33.2509815213048,1,8.09988605713081e-09,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1231.86229406057,1325.67126160382,-596.931147030283,1193.86229406057,5.58122126778926,1,0.018154058805688,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1225.88911379641,1319.69808133966,-593.944556898203,1187.88911379641,31.1243947009964,1,2.4201073128107e-08,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1232.18502923804,1325.99399678129,-597.09251461902,1194.18502923804,5.25848609031596,1,0.021840008501736,"twostage_layer","baseline_final","rt","filteredCorrect","gpt2-xl",NA
"critical_fit",19,1244.44808942543,1338.25705696868,-603.224044712713,1206.44808942543,12.5654190719761,1,0.000392950616889374,"twostage_layer","baseline_midpoint","rt","filteredCorrect","gpt2-xl",NA
