"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",14,894.421033781844,955.742749298441,-433.210516890922,866.421033781844,NA,NA,NA,"baseline_final","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",15,896.312045514683,962.013883568179,-433.156022757341,866.312045514683,0.108988267161635,1,0.741298932109123,"auc_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"baseline_midpoint_fit",18,904.70619410476,983.548399768955,-434.35309705238,868.70619410476,NA,NA,NA,"baseline_midpoint","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",19,903.722606050286,986.944934251382,-432.861303025143,865.722606050286,2.98358805447333,1,0.0841126163647911,"auc_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",15,893.862165132457,959.564003185954,-431.931082566229,863.862165132457,2.55886864938691,1,0.109677045728687,"layer_biggest_change_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",19,905.960708058926,989.183036260021,-433.980354029463,867.960708058926,0.745486045834127,1,0.38790914938773,"layer_biggest_change_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",15,891.875484268744,957.577322322241,-430.937742134372,861.875484268744,4.54554951310013,1,0.0330044268162057,"auc_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",19,903.789040687325,987.01136888842,-432.894520343662,865.789040687325,2.91715341743486,1,0.0876423493592277,"auc_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",15,890.626124405947,956.327962459443,-430.313062202973,860.626124405947,5.79490937589765,1,0.016072643330263,"layer_biggest_change_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",19,897.454858687595,980.677186888691,-429.727429343798,859.454858687595,9.25133541716457,1,0.00235323759473078,"layer_biggest_change_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",15,896.085138750163,961.786976803659,-433.042569375081,866.085138750163,0.33589503168173,1,0.562208325797896,"auc_logprob_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
"critical_fit",19,900.542077404161,983.764405605256,-431.27103870208,862.542077404161,6.16411670059892,1,0.0130367453927711,"auc_logprob_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gemma-2-27b",NA
