"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,905.461549601666,984.303755265862,-434.730774800833,869.461549601666,NA,NA,NA,"baseline_final","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,906.552934981819,989.775263182915,-434.27646749091,868.552934981819,0.90861461984673,1,0.340482268219729,"auc_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit",18,901.002768764646,979.844974428842,-432.501384382323,865.002768764646,NA,NA,NA,"baseline_midpoint","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,902.505279702943,985.727607904039,-432.252639851472,864.505279702943,0.497489061702822,1,0.48060548925449,"auc_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,906.379118111409,989.601446312504,-434.189559055704,868.379118111409,1.08243149025725,1,0.298154251187729,"layer_biggest_change_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,902.879366316825,986.101694517921,-432.439683158413,864.879366316825,0.123402447820467,1,0.725373162665344,"layer_biggest_change_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.606169160206,988.828497361302,-433.803084580103,867.606169160206,1.85538044145994,1,0.173158911692693,"auc_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,894.604589822608,977.826918023703,-428.302294911304,856.604589822608,8.39817894203804,1,0.00375597088707897,"auc_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,899.313252663515,982.535580864611,-430.656626331758,861.313252663515,8.14829693815091,1,0.00431016204494505,"layer_biggest_change_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,893.062528374812,976.284856575907,-427.531264187406,855.062528374812,9.94024038983434,1,0.00161704430116961,"layer_biggest_change_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.69563079614,988.917958997236,-433.84781539807,867.69563079614,1.76591880552564,1,0.183887966525966,"auc_logprob_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,894.301629030484,977.523957231579,-428.150814515242,856.301629030484,8.7011397341621,1,0.00318011150208317,"auc_logprob_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,901.100303812704,984.3226320138,-431.550151906352,863.100303812704,6.3612457889617,1,0.0116639619238588,"layer_biggest_change_logprob_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,891.305879247197,974.528207448293,-426.652939623599,853.305879247197,11.6968895174489,1,0.000626046634460906,"layer_biggest_change_logprob_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,903.452253805696,986.674582006792,-432.726126902848,865.452253805696,4.00929579597016,1,0.0452500468476478,"auc_logprobdiff_pos","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,899.816766880959,983.039095082055,-430.90838344048,861.816766880959,3.1860018836868,1,0.0742714549453549,"auc_logprobdiff_pos","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,904.533122635098,987.755450836194,-433.266561317549,866.533122635098,2.92842696656783,1,0.0870322546604787,"auc_logprobdiff_neg","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,895.579789899211,978.802118100306,-428.789894949605,857.579789899211,7.42297886543508,1,0.00643961167846085,"auc_logprobdiff_neg","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,896.150887513475,979.37321571457,-429.075443756737,858.150887513475,11.3106620881915,1,0.000770632882988317,"layer_biggest_change_logprobdiff","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,898.320077877361,981.542406078457,-430.160038938681,860.320077877361,4.68269088728448,1,0.0304679868323055,"layer_biggest_change_logprobdiff","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,906.026220775934,989.248548977029,-434.013110387967,868.026220775934,1.43532882573254,1,0.230896736244262,"auc_boosting_pos","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,901.938907929904,985.161236131,-431.969453964952,863.938907929904,1.06386083474206,1,0.302336266947271,"auc_boosting_pos","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.962819681992,989.185147883087,-433.981409840996,867.962819681992,1.49872991967413,1,0.220866887975101,"auc_boosting_neg","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,895.060902492397,978.283230693492,-428.530451246198,857.060902492397,7.94186627224906,1,0.00483039923629211,"auc_boosting_neg","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.632831272513,988.855159473608,-433.816415636256,867.632831272513,1.82871832915328,1,0.176279005084975,"layer_argmax_boosting","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,902.797837088114,986.020165289209,-432.398918544057,864.797837088114,0.204931676532283,1,0.650769244688387,"layer_argmax_boosting","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.458221114181,988.680549315277,-433.729110557091,867.458221114181,2.00332848748462,1,0.156954217732086,"twostage_magnitude","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,894.534514096143,977.756842297239,-428.267257048072,856.534514096143,8.46825466850282,1,0.00361398025236371,"twostage_magnitude","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.305350100222,988.527678301317,-433.652675050111,867.305350100222,2.15619950144446,1,0.141995514574475,"twostage_magnitude_latter34","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,894.438627731531,977.660955932627,-428.219313865766,856.438627731531,8.56414103311477,1,0.00342848693749682,"twostage_magnitude_latter34","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,905.499487260474,988.721815461569,-433.749743630237,867.499487260474,1.96206234119222,1,0.161292926440449,"twostage_layer","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
"critical_fit",19,896.318017431058,979.540345632154,-429.159008715529,858.318017431058,6.68475133358754,1,0.00972410866332931,"twostage_layer","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","gpt2-xl",NA
