"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1434.23424270911,1517.04279471749,-700.117121354555,1400.23424270911,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",18,1435.74088077659,1523.42052407958,-699.870440388296,1399.74088077659,0.493361932517928,1,0.482431443968153,"auc_entropy","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"baseline_midpoint_fit",18,1429.12556935494,1516.80521265793,-696.56278467747,1393.12556935494,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",19,1430.52767943527,1523.07841403287,-696.263839717637,1392.52767943527,0.597889919667068,1,0.439384251726188,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",18,1433.79543215734,1521.47507546033,-698.89771607867,1397.79543215734,2.43881055177144,1,0.118365948634286,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",19,1430.72637814964,1523.27711274724,-696.363189074822,1392.72637814964,0.39919120529612,1,0.527507247937061,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",18,1434.30039850883,1521.98004181182,-699.150199254417,1398.30039850883,1.93384420027587,1,0.164338482984257,"auc_rank_correct","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",19,1429.61839423071,1522.16912882831,-695.809197115357,1391.61839423071,1.50717512422671,1,0.219570643867181,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",18,1434.53879765125,1522.21844095424,-699.269398825625,1398.53879765125,1.69544505786052,1,0.192884743168934,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",19,1430.14960480748,1522.70033940508,-696.074802403738,1392.14960480748,0.975964547465537,1,0.323197129263477,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",18,1436.19970379015,1523.87934709314,-700.099851895075,1400.19970379015,0.0345389189612888,1,0.852565143455257,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Falcon3-3B-Base",NA
"critical_fit",19,1429.58879322176,1522.13952781936,-695.794396610882,1391.58879322176,1.53677613317745,1,0.215098309872482,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Falcon3-3B-Base",NA
