"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,1434.12453149367,1487.70653573438,-706.062265746833,1412.12453149367,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",12,1421.43421012875,1479.88730566408,-698.717105064377,1397.43421012875,14.6903213649123,1,0.000126695269632949,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-2-13b-hf",NA
"baseline_midpoint_fit",18,1428.2132723123,1515.8929156153,-696.106636156152,1392.2132723123,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",19,1430.05494705452,1522.60568165212,-696.027473527259,1392.05494705452,0.158325257786373,1,0.690703114729626,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",12,1436.02109769078,1494.47419322611,-706.010548845391,1412.02109769078,0.103433802882819,1,0.747747212082225,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",19,1429.626516413,1522.1772510106,-695.8132582065,1391.626516413,0.586755899305672,1,0.443676341293782,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",12,1422.24183825437,1480.69493378969,-699.120919127184,1398.24183825437,13.8826932392983,1,0.000194582028012625,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",19,1428.71574945147,1521.26648404907,-695.357874725735,1390.71574945147,1.49752286083503,1,0.221052903970805,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",12,1418.5082375327,1476.96133306803,-697.254118766353,1394.50823753271,17.6162939609603,1,2.70262823486569e-05,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",19,1426.22878713504,1518.77952173264,-694.11439356752,1388.22878713504,3.98448517726388,1,0.0459211317917679,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-13b-hf",NA
