"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,1428.72280289321,1482.30480713392,-703.361401446603,1406.72280289321,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.24724759795,1488.70034313327,-703.123623798973,1406.24724759795,0.475555295258346,1,0.490442513094813,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"baseline_midpoint_fit",18,1444.33339149481,1532.0130347978,-704.166695747404,1408.33339149481,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1436.91570918672,1529.46644378432,-699.457854593359,1398.91570918672,9.41768230808998,1,0.00214902972410725,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1429.70077092445,1488.15386645977,-702.850385462223,1405.70077092445,1.02203196875894,1,0.312037504895054,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1446.10315542654,1538.65389002414,-704.051577713272,1408.10315542654,0.230236068263366,1,0.631348842667853,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.72132218301,1489.17441771834,-703.360661091506,1406.72132218301,0.00148071019339113,1,0.96930497950082,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1444.82588684919,1537.37662144679,-703.412943424597,1406.82588684919,1.50750464561293,1,0.219520250499664,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.70834891376,1489.16144444908,-703.354174456878,1406.70834891376,0.0144539794500815,1,0.904305148750297,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1445.26294011782,1537.81367471542,-703.63147005891,1407.26294011782,1.07045137698628,1,0.300843512700146,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1429.50503432626,1487.95812986159,-702.752517163132,1405.50503432626,1.217768566941,1,0.269799016576424,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1445.88467812074,1538.43541271834,-703.94233906037,1407.88467812074,0.448713374066983,1,0.502946586571958,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.57807084509,1489.03116638042,-703.289035422547,1406.57807084509,0.144732048111564,1,0.703621310004849,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1445.92449275628,1538.47522735388,-703.962246378138,1407.92449275628,0.408898738532116,1,0.522528992015673,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.6888219981,1489.14191753342,-703.344410999049,1406.6888219981,0.0339808951071063,1,0.853747460580378,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1439.68040585918,1532.23114045678,-700.84020292959,1401.68040585918,6.65298563562806,1,0.00989898145438191,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1428.30882184368,1486.761917379,-702.154410921839,1404.30882184368,2.41398104952782,1,0.120256195870992,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1446.00596718364,1538.55670178124,-704.00298359182,1408.00596718364,0.327424311167761,1,0.567179697530041,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1429.70080145956,1488.15389699488,-702.850400729778,1405.70080145956,1.02200143365008,1,0.31204473346579,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1446.2904830443,1538.8412176419,-704.145241522147,1408.2904830443,0.0429084505124138,1,0.835897751231795,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1425.61566943809,1484.06876497341,-700.807834719044,1401.61566943809,5.10713345511772,1,0.0238276578320528,"auc_boosting_pos","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1439.32868818003,1531.87942277764,-700.664344090017,1401.32868818003,7.00470331477254,1,0.00812958454055571,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1427.84242782833,1486.29552336365,-701.921213914164,1403.84242782833,2.88037506487717,1,0.0896651345184498,"auc_boosting_neg","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1446.11048164142,1538.66121623902,-704.05524082071,1408.11048164142,0.222909853387819,1,0.636831644664756,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.39442399003,1488.84751952536,-703.197211995017,1406.39442399003,0.328378903170915,1,0.566615211367969,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1445.1393502441,1537.6900848417,-703.569675122049,1407.1393502441,1.19404125070855,1,0.27451590121063,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.23078282048,1488.68387835581,-703.115391410242,1406.23078282048,0.492020072720607,1,0.483027577486953,"twostage_magnitude","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1445.44331450651,1537.99404910411,-703.721657253255,1407.44331450651,0.890076988296869,1,0.345456445662471,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.33341632912,1488.78651186444,-703.166708164559,1406.33341632912,0.389386564087317,1,0.532622026007379,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1446.07924325208,1538.62997784968,-704.039621626042,1408.07924325208,0.254148242723204,1,0.614169200195509,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",12,1430.68935675343,1489.14245228876,-703.344678376717,1406.68935675343,0.0334461397717405,1,0.854889933341556,"twostage_layer","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit",19,1442.61722145472,1535.16795605232,-702.308610727361,1404.61722145472,3.71617004008476,1,0.053887844216361,"twostage_layer","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
