"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,1428.63178194939,1516.31142525238,-696.315890974697,1392.63178194939,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1421.09660350196,1513.64733809956,-691.548301750978,1383.09660350196,9.53517844743965,1,0.00201570574006105,"auc_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"baseline_midpoint_fit",18,1429.59750867365,1517.27715197664,-696.798754336825,1393.59750867365,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1431.29435843615,1523.84509303375,-696.647179218073,1393.29435843615,0.303150237505406,1,0.581914211702328,"auc_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1430.38662157573,1522.93735617333,-696.193310787867,1392.38662157573,0.245160373661292,1,0.620503613719392,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1429.34696451216,1521.89769910976,-695.67348225608,1391.34696451216,2.25054416149078,1,0.133567426110463,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1420.17791766256,1512.72865226016,-691.088958831278,1382.17791766256,10.4538642868392,1,0.00122393140961,"auc_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1428.44518582901,1520.99592042661,-695.222592914503,1390.44518582901,3.15232284464423,1,0.0758189616924363,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1423.80129992533,1516.35203452293,-692.900649962663,1385.80129992533,6.8304820240694,1,0.00896150776612334,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1431.04845295357,1523.59918755117,-696.524226476783,1393.04845295357,0.549055720084198,1,0.458703783250963,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1420.54645324158,1513.09718783918,-691.273226620789,1382.54645324158,10.085328707816,1,0.00149454499354267,"auc_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1426.69017096869,1519.24090556629,-694.345085484347,1388.69017096869,4.90733770495694,1,0.0267428300605615,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1430.60801600412,1523.15875060172,-696.304008002058,1392.60801600412,0.0237659452782282,1,0.877481944657303,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1429.33408250819,1521.88481710579,-695.667041254095,1391.33408250819,2.26342616546003,1,0.132460718492679,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1430.32653091733,1522.87726551493,-696.163265458665,1392.32653091733,0.305251032065144,1,0.580609068812148,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1429.6096167861,1522.1603513837,-695.804808393048,1391.6096167861,1.98789188755563,1,0.158561475681805,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1428.47220348621,1521.02293808381,-695.236101743103,1390.47220348621,2.15957846318884,1,0.141683554305682,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1427.95004935666,1520.50078395426,-694.97502467833,1389.95004935666,3.6474593169919,1,0.0561548123217132,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit",19,1430.34783594984,1522.89857054744,-696.173917974919,1392.34783594984,0.283945999557318,1,0.594126455832791,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
