"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,1430.20495948088,1517.88460278387,-697.102479740442,1394.20495948088,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1432.18621503594,1524.73694963354,-697.093107517972,1394.18621503594,0.0187444449397844,1,0.891101654866445,"auc_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit",18,1441.13374516178,1528.81338846477,-702.566872580889,1405.13374516178,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1440.63417841379,1533.18491301139,-701.317089206893,1402.63417841379,2.4995667479925,1,0.113877622092193,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1430.51833261207,1523.06906720967,-696.259166306036,1392.51833261207,1.68662686881271,1,0.194046219575212,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1438.60683231636,1531.15756691396,-700.303416158178,1400.60683231636,4.52691284542175,1,0.0333657560877304,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1430.37316634802,1522.92390094562,-696.186583174008,1392.37316634802,1.83179313286723,1,0.175915896329763,"auc_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1441.76728300316,1534.31801760076,-701.883641501579,1403.76728300316,1.36646215861947,1,0.242420665032734,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.22451699741,1523.77525159501,-696.612258498703,1393.22451699741,0.9804424834781,1,0.322089588535267,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1443.07564523511,1535.62637983271,-702.537822617555,1405.07564523511,0.0580999266685467,1,0.80952468542468,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.99226416496,1524.54299876256,-696.996132082478,1393.99226416496,0.212695315927931,1,0.644662995665984,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1439.67613516282,1532.22686976042,-700.838067581408,1401.67613516282,3.45760999896106,1,0.0629612591751738,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1427.58985336064,1520.14058795824,-694.794926680322,1389.58985336064,4.61510612023949,1,0.0316915342165337,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1442.85918725305,1535.40992185065,-702.429593626523,1404.85918725305,0.274557908730912,1,0.600290546835542,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1432.18937519987,1524.74010979747,-697.094687599935,1394.18937519987,0.0155842810138438,1,0.900652580645624,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.53471898779,1524.08545358539,-696.767359493896,1393.53471898779,11.5990261739862,1,0.000659863631046159,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.46099022921,1524.01172482681,-696.730495114607,1393.46099022921,0.743969251670023,1,0.388392344482084,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1440.08588307736,1532.63661767496,-701.042941538681,1402.08588307736,3.04786208441556,1,0.0808434983902447,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.98941452389,1524.54014912149,-696.994707261945,1393.98941452389,0.215544956995018,1,0.642455607764678,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1442.94492292501,1535.49565752261,-702.472461462505,1404.94492292501,0.188822236768374,1,0.663898672534278,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1431.97038569504,1524.52112029264,-696.985192847521,1393.97038569504,0.234573785841121,1,0.628152979845009,"auc_boosting_pos","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1443.1160182694,1535.666752867,-702.558009134701,1405.1160182694,0.0177268923760039,1,0.894080781991199,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1430.85968427729,1523.41041887489,-696.429842138646,1392.85968427729,1.34527520359188,1,0.246105813529973,"auc_boosting_neg","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,1441.46434912075,1534.01508371835,-701.732174560376,1403.46434912075,1.66939604102527,1,0.196339449310995,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
