"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,1444.24283943211,1531.9224827351,-704.121419716056,1408.24283943211,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1444.43434122463,1536.98507582223,-703.217170612313,1406.43434122463,1.80849820748654,1,0.178688489065741,"auc_entropy","baseline_final","rt","filteredCorrect","gpt2",NA
"baseline_midpoint_fit",18,1436.73833953826,1524.41798284125,-700.369169769131,1400.73833953826,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1437.48040939328,1530.03114399088,-699.74020469664,1399.48040939328,1.25793014498231,1,0.262043249822976,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1445.00713947614,1537.55787407374,-703.50356973807,1407.00713947614,1.2356999559729,1,0.266301389381885,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1438.59212529829,1531.14285989589,-700.296062649145,1400.59212529829,0.146214239972096,1,0.702179740651795,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1446.09348502927,1538.64421962687,-704.046742514636,1408.09348502927,0.149354402840345,1,0.699153078979131,"auc_rank_correct","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1434.65915983641,1527.20989443401,-698.329579918204,1396.65915983641,4.07917970185326,1,0.0434147306406389,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1444.39982208013,1536.95055667773,-703.199911040064,1406.39982208013,1.84301735198437,1,0.174597706536985,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1438.4711134553,1531.0218480529,-700.235556727649,1400.4711134553,0.267226082963589,1,0.60519863829501,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1445.70125961859,1538.25199421619,-703.850629809295,1407.70125961859,0.541579813522503,1,0.461778737009158,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1437.38664465362,1529.93737925122,-699.693322326809,1399.38664465362,1.3516948846443,1,0.244982033231071,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1445.07002808225,1537.62076267985,-703.535014041126,1407.07002808225,1.17281134985978,1,0.278824335959985,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1438.67216037155,1531.22289496915,-700.336080185773,1400.67216037155,0.0661791667162106,1,0.796983381157698,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1446.15578062665,1538.70651522425,-704.077890313324,1408.15578062665,0.0870588054644941,1,0.767950114208674,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1438.61594916687,1531.16668376447,-700.307974583434,1400.61594916687,0.122390371393749,1,0.726456261682601,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1439.93618496933,1532.48691956693,-700.968092484664,1401.93618496933,6.30665446278408,1,0.0120285608154377,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gpt2",NA
"critical_fit",19,1438.55320933234,1531.10394392994,-700.27660466617,1400.55320933234,0.185130205921496,1,0.667000994300388,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gpt2",NA
