"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1148.56223283377,1231.28238110679,-557.281116416884,1114.56223283377,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1148.39914427502,1235.98518362292,-556.19957213751,1112.39914427502,2.16308855874763,1,0.141360302732969,"auc_entropy","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"baseline_midpoint_fit",17,1164.00264217699,1246.72279045001,-565.001321088494,1130.00264217699,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1165.61541020843,1253.20144955633,-564.807705104215,1129.61541020843,0.387231968557217,1,0.533757996902431,"auc_entropy","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1148.74415901157,1236.33019835947,-556.372079505786,1112.74415901157,1.81807382219495,1,0.177542726131511,"auc_rank_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1164.52302483861,1252.10906418652,-564.261512419307,1128.52302483861,1.47961733837269,1,0.223834402859029,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1147.63377209245,1235.21981144035,-555.816886046225,1111.63377209245,2.92846074131739,1,0.0870304337849934,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1165.34151552951,1252.92755487742,-564.670757764757,1129.34151552951,0.661126647472656,1,0.416162475941144,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1148.76592997073,1236.35196931863,-556.382964985364,1112.76592997073,1.79630286303995,1,0.180160104115151,"auc_logprob_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1164.76065020957,1252.34668955747,-564.380325104786,1128.76065020957,1.24199196741483,1,0.265087498216777,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1142.56095784651,1230.14699719442,-553.280478923257,1106.56095784651,8.00127498725305,1,0.00467444239401006,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit",18,1161.93978055678,1249.52581990469,-562.969890278392,1125.93978055678,4.06286162020297,1,0.0438361540191934,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
