"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1116.04492921937,1198.76507749238,-541.022464609683,1082.04492921937,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1117.45549925278,1205.04153860068,-540.727749626391,1081.45549925278,0.589429966584703,1,0.44263963178838,"auc_entropy","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"baseline_midpoint_fit",17,1107.94530090294,1190.66544917596,-536.972650451472,1073.94530090294,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1109.63431766812,1197.22035701602,-536.817158834058,1073.63431766812,0.310983234827745,1,0.577077459030093,"auc_entropy","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1116.78502221576,1204.37106156367,-540.392511107882,1080.78502221576,1.25990700360148,1,0.261668694270059,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1109.90680301693,1197.49284236483,-536.953401508465,1073.90680301693,0.0384978860129195,1,0.844446754858105,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1117.87415317601,1205.46019252391,-540.937076588006,1081.87415317601,0.170776043353953,1,0.679423032407235,"auc_rank_correct","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1103.15438598229,1190.74042533019,-533.577192991143,1067.15438598229,6.79091492065822,1,0.00916229390818416,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1115.44915313168,1203.03519247958,-539.724576565838,1079.44915313168,2.5957760876895,1,0.107148942037656,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1108.73597978014,1196.32201912804,-536.367989890071,1072.73597978014,1.20932112280093,1,0.271466613469163,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1113.93556543335,1201.52160478125,-538.967782716676,1077.93556543335,4.10936378601332,1,0.0426464023996948,"auc_logprob_correct","baseline_final","response_correct","all_trials","Llama-3.1-70B",NA
"critical_fit",18,1100.48070492362,1188.06674427152,-532.24035246181,1064.48070492362,9.46459597932289,1,0.00209475565653027,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-70B",NA
