"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1134.42016038576,1217.14030865878,-550.210080192882,1100.42016038576,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1127.27141674344,1214.85745609134,-545.635708371721,1091.27141674344,9.14874364232219,1,0.00248888897382475,"auc_entropy","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",17,1187.44065551287,1270.16080378589,-576.720327756435,1153.44065551287,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1177.47301923974,1265.05905858764,-570.73650961987,1141.47301923974,11.9676362731293,1,0.000541325669518817,"auc_entropy","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1131.73053473423,1219.31657408214,-547.865267367117,1095.73053473423,4.68962565153129,1,0.0303452578049479,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1188.25578031031,1275.84181965821,-576.127890155156,1152.25578031031,1.18487520255644,1,0.276365731370685,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1103.03331674841,1190.61935609631,-533.516658374205,1067.03331674841,33.3868436373541,1,7.55332103950604e-09,"auc_rank_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1122.98741185108,1210.57345119898,-543.493705925539,1086.98741185108,66.4532436617915,1,3.58292285647555e-16,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1128.88523082018,1216.47127016809,-546.442615410092,1092.88523082018,7.53492956558034,1,0.00605141030438528,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1178.70894103724,1266.29498038515,-571.354470518622,1142.70894103724,10.7317144756257,1,0.00105314824403745,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1104.43339823146,1192.01943757936,-534.216699115728,1068.43339823146,31.9867621543087,1,1.5522678073561e-08,"auc_logprob_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1131.4025486464,1218.9885879943,-547.701274323199,1095.4025486464,58.0381068664706,1,2.5708906308026e-14,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1102.84821924974,1190.43425859764,-533.424109624868,1066.84821924974,33.5719411360292,1,6.86762948275367e-09,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1109.50538950067,1197.09142884857,-536.752694750336,1073.50538950067,79.9352660121974,1,3.86879377236347e-19,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1108.48949958537,1196.07553893327,-536.244749792686,1072.48949958537,27.9306608003926,1,1.2574141571455e-07,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1149.72290715207,1237.30894649997,-556.861453576034,1113.72290715207,39.717748360802,1,2.93446624889111e-10,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1104.21342343547,1191.79946278337,-534.106711717734,1068.21342343547,32.2067369502963,1,1.38609306516557e-08,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1135.86911625072,1223.45515559862,-549.934558125358,1099.86911625072,53.5715392621528,1,2.49345598137645e-13,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1118.07399979977,1205.66003914767,-541.036999899885,1082.07399979977,18.3461605859941,1,1.84189789196655e-05,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1128.12335719392,1215.70939654182,-546.06167859696,1092.12335719392,61.3172983189502,1,4.85793353071459e-15,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1110.6453538657,1198.2313932136,-537.322676932849,1074.6453538657,25.7748065200676,1,3.83663939960173e-07,"auc_boosting_pos","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1171.46730355324,1259.05334290114,-567.733651776621,1135.46730355324,17.9733519596277,1,2.24019169441715e-05,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit",18,1109.04959050895,1196.63562985686,-536.524795254477,1073.04959050895,27.3705698768106,1,1.67968168701137e-07,"auc_boosting_neg","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
