"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1173.14379630584,1255.86394457885,-569.571898152918,1139.14379630584,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1172.4836613546,1260.06970070251,-568.241830677302,1136.4836613546,2.66013495123275,1,0.102892004512587,"auc_entropy","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"baseline_midpoint_fit",17,1152.90579536827,1235.62594364129,-559.452897684137,1118.90579536827,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1154.73207512867,1242.31811447658,-559.366037564337,1118.73207512867,0.173720239601153,1,0.676826457837453,"auc_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1172.68077412412,1260.26681347202,-568.340387062061,1136.68077412412,2.463022181714,1,0.116554332162387,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1152.84201997027,1240.42805931818,-558.421009985137,1116.84201997027,2.06377539800042,1,0.150836053577613,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1173.59785461842,1261.18389396632,-568.798927309211,1137.59785461842,1.5459416874146,1,0.213735559130317,"auc_rank_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1154.90566913537,1242.49170848327,-559.452834567684,1118.90566913537,0.000126232905358847,1,0.991035682841608,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1174.86074788297,1262.44678723087,-569.430373941486,1138.86074788297,0.283048422864795,1,0.594710098139379,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1154.62522574485,1242.21126509275,-559.312612872424,1118.62522574485,0.280569623425663,1,0.596328108249779,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1172.59390324723,1260.17994259514,-568.296951623617,1136.59390324723,2.54989305860136,1,0.110301721047717,"auc_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1153.61901765025,1241.20505699815,-558.809508825124,1117.61901765025,1.28677771802631,1,0.256642626431326,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1175.10817257966,1262.69421192756,-569.55408628983,1139.10817257966,0.035623726176027,1,0.850294650667196,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1147.92746364267,1235.51350299057,-555.963731821334,1111.92746364267,6.97833172560604,1,0.00825024810261275,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1173.08441630796,1260.67045565586,-568.542208153981,1137.08441630796,2.05937999787443,1,0.151271708828799,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1154.81678576975,1242.40282511766,-559.408392884877,1118.81678576975,0.0890095985193966,1,0.765440041859524,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1166.35333822265,1253.93937757055,-565.176669111325,1130.35333822265,8.7904580831862,1,0.00302810202512264,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit",18,1147.59245468773,1235.17849403563,-555.796227343864,1111.59245468773,7.31334068054684,1,0.00684445684956808,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
