"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1168.92235185281,1251.64250012583,-567.461175926406,1134.92235185281,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1165.94898054332,1253.53501989122,-564.974490271661,1129.94898054332,4.97337130949086,1,0.0257404283498452,"auc_entropy","baseline_final","response_correct","all_trials","gpt2-medium",NA
"baseline_midpoint_fit",17,1198.47565899938,1281.1958072724,-582.237829499689,1164.47565899938,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1196.21777907982,1283.80381842773,-580.108889539912,1160.21777907982,4.2578799195544,1,0.0390686512271536,"auc_entropy","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1169.66877362094,1257.25481296885,-566.834386810472,1133.66877362094,1.25357823186778,1,0.262870153250475,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1197.79699187054,1285.38303121844,-580.898495935271,1161.79699187054,2.67866712883574,1,0.101700817614837,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1169.60105328993,1257.18709263783,-566.800526644964,1133.60105328993,1.32129856288361,1,0.250359132184862,"auc_rank_correct","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1198.65610744777,1286.24214679567,-581.328053723883,1162.65610744777,1.81955155161245,1,0.177366666061465,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1170.60067852238,1258.18671787029,-567.300339261192,1134.60067852238,0.321673330427984,1,0.570603765786538,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1196.16277171453,1283.74881106243,-580.081385857263,1160.16277171453,4.3128872848522,1,0.0378247120515305,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1164.51189732016,1252.09793666806,-564.255948660081,1128.51189732016,6.41045453264974,1,0.0113450370229972,"auc_logprob_correct","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1197.12454182515,1284.71058117305,-580.562270912575,1161.12454182515,3.35111717422751,1,0.06715941940166,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1170.39154748317,1257.97758683107,-567.195773741584,1134.39154748317,0.530804369643874,1,0.466268882006182,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1192.09569739681,1279.68173674471,-578.047848698405,1156.09569739681,8.3799616025683,1,0.00379380439059733,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-medium",NA
"critical_fit",18,1167.75296660749,1255.33900595539,-565.876483303743,1131.75296660749,3.16938524532657,1,0.0750306829919691,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gpt2-medium",NA
