"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,1181.21916403234,1263.93931230536,-573.609582016169,1147.21916403234,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1182.02002244068,1269.60606178858,-573.010011220341,1146.02002244068,1.19914159165569,1,0.27349331397491,"auc_entropy","baseline_final","response_correct","all_trials","gpt2-xl",NA
"baseline_midpoint_fit",17,1156.83493140226,1239.55507967528,-561.417465701129,1122.83493140226,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1157.66098642391,1245.24702577181,-560.830493211953,1121.66098642391,1.17394497835198,1,0.278592133928448,"auc_entropy","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1178.3492522902,1265.9352916381,-571.174626145101,1142.3492522902,4.86991174213495,1,0.0273288981177839,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.69262354459,1246.27866289249,-561.346311772296,1122.69262354459,0.14230785766631,1,0.705997384030899,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1183.19606826264,1270.78210761054,-573.598034131319,1147.19606826264,0.0230957696987844,1,0.879208290909087,"auc_rank_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.83456627167,1246.42060561957,-561.417283135834,1122.83456627167,0.000365130590125773,1,0.9847546379471,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1183.10655067896,1270.69259002686,-573.553275339481,1147.10655067896,0.112613353375082,1,0.737188263103858,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.06865057869,1245.65468992659,-561.034325289344,1122.06865057869,0.766280823569559,1,0.381370074108451,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1177.60027949266,1265.18631884057,-570.800139746332,1141.60027949266,5.61888453967345,1,0.017767953888986,"auc_logprob_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1157.98316265204,1245.56920199994,-560.991581326018,1121.98316265204,0.851768750223073,1,0.356052448041555,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1181.56022290445,1269.14626225235,-572.780111452226,1145.56022290445,1.65894112788487,1,0.197746351298089,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1157.69010901652,1245.27614836443,-560.845054508262,1121.69010901652,1.14482238573464,1,0.284635634409581,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1167.6875731686,1255.27361251651,-565.843786584302,1131.6875731686,15.531590863734,1,8.11379107173089e-05,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.27878462833,1245.86482397623,-561.139392314165,1122.27878462833,0.556146773928276,1,0.455816945552218,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1155.4764688888,1243.0625082367,-559.738234444398,1119.4764688888,27.7426951435407,1,1.38570450256279e-07,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.80099362079,1246.38703296869,-561.400496810394,1122.80099362079,0.0339377814700583,1,0.853839224290275,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1182.28825625946,1269.87429560736,-573.144128129729,1146.28825625946,0.930907772878754,1,0.334627151914627,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1158.34180096957,1245.92784031747,-561.170900484785,1122.34180096957,0.493130432689213,1,0.482534203432084,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1181.56633562327,1269.15237497117,-572.783167811633,1145.56633562327,1.65282840907184,1,0.198574406286967,"auc_boosting_pos","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1153.53870454609,1241.12474389399,-558.769352273044,1117.53870454609,5.2962268561696,1,0.0213716712087472,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1183.20275659382,1270.78879594172,-573.60137829691,1147.20275659382,0.0164074385172626,1,0.898076543671585,"auc_boosting_neg","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1157.44309262008,1245.02913196799,-560.721546310042,1121.44309262008,1.39183878217341,1,0.238094818671514,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1179.67137047012,1267.25740981802,-571.835685235059,1143.67137047012,3.54779356222002,1,0.0596246860598725,"layer_argmax_boosting","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1155.82957634745,1243.41561569535,-559.914788173723,1119.82957634745,3.00535505481184,1,0.0829897925642554,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit",18,1156.75397528994,1244.34001463785,-560.376987644972,1120.75397528994,26.4651887423927,1,2.68330292282657e-07,"twostage_magnitude","baseline_final","response_correct","all_trials","gpt2-xl",NA
