"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,416.351730816972,480.571820311757,-191.175865408486,382.351730816972,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,418.297018412569,486.294760230577,-191.148509206285,382.297018412569,0.054712404402494,1,0.815057311905363,"auc_entropy","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"baseline_midpoint_fit",17,410.794159940701,475.014249435486,-188.39707997035,376.794159940701,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,411.626318299593,479.624060117601,-187.813159149797,375.626318299593,1.16784164110777,1,0.279845169340835,"auc_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,409.22696125653,477.224703074538,-186.613480628265,373.22696125653,9.12476956044213,1,0.00252171647289839,"layer_biggest_change_entropy","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.161811888643,480.159553706651,-188.080905944322,376.161811888643,0.632348052057864,1,0.426495338907533,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,417.622721023288,485.620462841296,-190.811360511644,381.622721023288,0.729009793683872,1,0.393204341295377,"auc_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,408.516867919242,476.514609737249,-186.258433959621,372.516867919242,4.27729202145929,1,0.0386248384978171,"auc_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,418.343188398923,486.34093021693,-191.171594199461,382.343188398923,0.00854241804933054,1,0.926360216459583,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,407.721944113587,475.719685931595,-185.860972056793,371.721944113587,5.07221582711401,1,0.024312286728221,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,416.633131147594,484.630872965602,-190.316565573797,380.633131147594,1.7185996693778,1,0.189873398078751,"auc_logprob_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.482645751015,480.480387569023,-188.241322875508,376.482645751015,0.311514189685397,1,0.576752501105398,"auc_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,415.805138834462,483.80288065247,-189.902569417231,379.805138834462,2.54659198250965,1,0.110532449684464,"auc_logprobdiff_pos","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.31972680134,480.317468619348,-188.15986340067,376.31972680134,0.474433139360656,1,0.490954755493599,"auc_logprobdiff_pos","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,417.416892829221,485.414634647229,-190.708446414611,381.416892829221,0.934837987750768,1,0.333608924431248,"auc_logprobdiff_neg","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.790679070897,480.788420888905,-188.395339535448,376.790679070897,0.00348086980409335,1,0.952952986940759,"auc_logprobdiff_neg","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",17,416.351730816972,480.571820311757,-191.175865408486,382.351730816972,0,0,NA,"layer_biggest_change_logprobdiff","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,404.679387085202,472.67712890321,-184.339693542601,368.679387085202,8.11477285549915,1,0.00439059738483659,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,414.904367377856,482.902109195863,-189.452183688928,378.904367377856,3.44736343911626,1,0.0633527531139762,"auc_boosting_pos","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,403.993455925437,471.991197743445,-183.996727962719,367.993455925437,8.80070401526342,1,0.00301114327993378,"auc_boosting_pos","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,416.803395558378,484.801137376385,-190.401697779189,380.803395558378,1.54833525859425,1,0.213381370137065,"auc_boosting_neg","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.698589182574,480.696331000582,-188.349294591287,376.698589182574,0.0955707581270531,1,0.7572110731492,"auc_boosting_neg","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,418.269032848928,486.266774666936,-191.134516424464,382.269032848928,0.0826979680436466,1,0.773673964190626,"layer_argmax_boosting","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,412.719531079349,480.717272897357,-188.359765539675,376.719531079349,0.074628861351755,1,0.784712673989015,"layer_argmax_boosting","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,417.648309623076,485.646051441083,-190.824154811538,381.648309623076,0.703421193896247,1,0.401636505856256,"twostage_magnitude","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,403.940870286076,471.938612104084,-183.970435143038,367.940870286076,8.85328965462475,1,0.00292561129394446,"twostage_magnitude","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,417.648309623076,485.646051441083,-190.824154811538,381.648309623076,0.703421193896247,1,0.401636505856256,"twostage_magnitude_latter34","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,403.940870286076,471.938612104084,-183.970435143038,367.940870286076,8.85328965462475,1,0.00292561129394446,"twostage_magnitude_latter34","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,417.594853857572,485.59259567558,-190.797426928786,381.594853857572,0.756876959399449,1,0.384307640759072,"twostage_layer","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit",18,411.414415103492,479.412156921499,-187.707207551746,375.414415103492,1.37974483720922,1,0.240144615613672,"twostage_layer","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
