"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,421.847616122329,486.067705617114,-193.923808061165,387.847616122329,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,420.042964280139,488.040706098147,-192.021482140069,384.042964280139,3.80465184219037,1,0.0511104004197289,"auc_entropy","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"baseline_midpoint_fit",17,407.749084500107,471.969173994892,-186.874542250053,373.749084500107,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.563025519872,477.56076733788,-186.781512759936,373.563025519872,0.186058980234918,1,0.666217137674406,"auc_entropy","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,423.606548782579,491.604290600587,-193.80327439129,387.606548782579,0.241067339749918,1,0.623436286411525,"layer_biggest_change_entropy","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.309053175353,477.306794993361,-186.654526587677,373.309053175353,0.440031324753306,1,0.507107336624277,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,423.825305155401,491.823046973408,-193.9126525777,387.825305155401,0.0223109669285577,1,0.881262818317217,"auc_rank_correct","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.724382173858,477.722123991865,-186.862191086929,373.724382173858,0.0247023262490984,1,0.875111078171957,"auc_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,423.553023876599,491.550765694607,-193.776511938299,387.553023876599,0.294592245730371,1,0.587292628795208,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.743897592451,477.741639410458,-186.871948796225,373.743897592451,0.00518690765602514,1,0.94258584089299,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,419.38813558666,487.385877404668,-191.69406779333,383.38813558666,4.45948053566917,1,0.0347080508814013,"auc_logprob_correct","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,408.417813635167,476.415555453174,-186.208906817583,372.417813635167,1.33127086494011,1,0.248579255403931,"auc_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,423.23067329556,491.228415113568,-193.61533664778,387.23067329556,0.616942826768991,1,0.432185624522953,"layer_biggest_change_logprob_correct","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.676858587158,477.674600405166,-186.838429293579,373.676858587158,0.0722259129486247,1,0.788123002324619,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,419.893584291977,487.891326109985,-191.946792145988,383.893584291977,3.95403183035233,1,0.046759208902156,"auc_logprobdiff_pos","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,409.667381369821,477.665123187829,-186.833690684911,373.667381369821,0.0817031302852911,1,0.775002512788665,"auc_logprobdiff_pos","baseline_midpoint","response_correct","filteredContentEffects","gemma-2-2b",NA
"critical_fit",18,423.645215517533,491.642957335541,-193.822607758766,387.645215517533,0.202400604796196,1,0.65279008488667,"auc_logprobdiff_neg","baseline_final","response_correct","filteredContentEffects","gemma-2-2b",NA
