"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,700.78973356663,776.581484383491,-333.394866783315,666.78973356663,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.724260917874,782.97435001808,-333.362130458937,666.724260917874,0.065472648756213,1,0.7980464039194,"auc_entropy","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"baseline_midpoint_fit",17,763.33480560782,839.126556424681,-364.66740280391,729.33480560782,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,765.304793396602,845.554882496809,-364.652396698301,729.304793396602,0.0300122112175814,1,0.86246252575321,"auc_entropy","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,701.318629618105,781.568718718311,-332.659314809053,665.318629618105,1.47110394852461,1,0.225171596249,"layer_biggest_change_entropy","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,765.300682635568,845.550771735774,-364.650341317784,729.300682635568,0.0341229722522485,1,0.853445486716084,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,701.75023854553,782.000327645736,-332.875119272765,665.75023854553,1.03949502109981,1,0.307938945719483,"auc_rank_correct","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,729.43242274541,809.682511845616,-346.716211372705,693.43242274541,35.9023828624098,1,2.07454846970457e-09,"auc_rank_correct","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.262695248321,782.512784348527,-333.131347624161,666.262695248321,0.527038318308655,1,0.467854680274797,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,765.12949574426,845.379584844467,-364.56474787213,729.12949574426,0.205309863559592,1,0.650468588243406,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.476688916064,782.726778016271,-333.238344458032,666.476688916064,0.313044650565416,1,0.575817848100069,"auc_logprob_correct","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,727.353723239216,807.603812339422,-345.676861619608,691.353723239216,37.9810823686043,1,7.14339172028673e-10,"auc_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.43752630347,782.687615403677,-333.218763151735,666.43752630347,0.352207263159471,1,0.552866303584734,"layer_biggest_change_logprob_correct","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,762.938943521897,843.189032622103,-363.469471760948,726.938943521897,2.39586208592334,1,0.121656667668185,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.238909616239,782.488998716446,-333.11945480812,666.238909616239,0.550823950390509,1,0.457981223786514,"auc_logprobdiff_pos","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,729.308911803083,809.559000903289,-346.654455901541,693.308911803083,36.025893804737,1,1.94712768764871e-09,"auc_logprobdiff_pos","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.691491507986,782.941580608192,-333.345745753993,666.691491507986,0.0982420586439048,1,0.753949518813914,"auc_logprobdiff_neg","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,732.387732533533,812.637821633739,-348.193866266766,696.387732533533,32.9470730742872,1,9.47022151791723e-09,"auc_logprobdiff_neg","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.670280924432,782.920370024638,-333.335140462216,666.670280924432,0.119452642197871,1,0.729628902988,"layer_biggest_change_logprobdiff","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,762.376128729062,842.626217829268,-363.188064364531,726.376128729062,2.95867687875807,1,0.0854178123132674,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.373565163734,782.62365426394,-333.186782581867,666.373565163734,0.416168402896005,1,0.518855155180818,"auc_boosting_pos","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,724.322640346584,804.57272944679,-344.161320173292,688.322640346584,41.0121652612363,1,1.51284614360754e-10,"auc_boosting_pos","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.59228568962,782.842374789827,-333.29614284481,666.59228568962,0.197447877009267,1,0.656788780535308,"auc_boosting_neg","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,716.99501526457,797.245104364776,-340.497507632285,680.99501526457,48.3397903432498,1,3.58405378986676e-12,"auc_boosting_neg","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.707999417543,782.95808851775,-333.353999708772,666.707999417543,0.081734149086401,1,0.774960957190835,"layer_argmax_boosting","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,765.30455522346,845.554644323666,-364.65227761173,729.30455522346,0.0302503843597606,1,0.861923323286423,"layer_argmax_boosting","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.550807044265,782.800896144471,-333.275403522132,666.550807044265,0.238926522364864,1,0.624982514102286,"twostage_magnitude","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,753.945812595363,834.195901695569,-358.972906297682,717.945812595363,11.3889930124568,1,0.00073880569698303,"twostage_magnitude","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,702.516780540521,782.766869640727,-333.25839027026,666.516780540521,0.272953026109121,1,0.601357701232612,"twostage_magnitude_latter34","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,751.375169132296,831.625258232503,-357.687584566148,715.375169132296,13.9596364755237,1,0.000186777776965883,"twostage_magnitude_latter34","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,701.049928876481,781.300017976687,-332.52496443824,665.049928876481,1.73980469014907,1,0.187163575691694,"twostage_layer","baseline_final","response_correct","filteredRealistic","Falcon3-3B-Base",NA
"critical_fit",18,752.781454248602,833.031543348808,-358.390727124301,716.781454248602,12.5533513592181,1,0.000395496366981878,"twostage_layer","baseline_midpoint","response_correct","filteredRealistic","Falcon3-3B-Base",NA
