"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,753.111556756566,828.903307573428,-359.555778378283,719.111556756566,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,752.26754270174,832.517631801946,-358.13377135087,716.26754270174,2.84401405482618,1,0.0917148384199898,"auc_entropy","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"baseline_midpoint_fit",17,735.966627969311,811.758378786172,-350.983313984655,701.966627969311,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,737.947399503841,818.197488604047,-350.97369975192,701.947399503841,0.0192284654702917,1,0.889713499802706,"auc_entropy","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,754.299092852244,834.54918195245,-359.149546426122,718.299092852244,0.812463904322271,1,0.367392797890863,"layer_biggest_change_entropy","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,735.346725330196,815.596814430402,-349.673362665098,699.346725330196,2.6199026391148,1,0.105530915690624,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,753.429882755365,833.679971855571,-358.714941377682,717.429882755365,1.68167400120149,1,0.194702165569568,"auc_rank_correct","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,736.753441044911,817.003530145117,-350.376720522456,700.753441044911,1.21318692439991,1,0.270701876898859,"auc_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,754.556689735062,834.806778835269,-359.278344867531,718.556689735062,0.554867021503924,1,0.456335822784451,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,735.490349134766,815.740438234972,-349.745174567383,699.490349134766,2.47627883454538,1,0.115575405323612,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,744.874913276669,825.125002376876,-354.437456638335,708.874913276669,10.236643479897,1,0.00137677888059704,"auc_logprob_correct","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,737.930932981314,818.181022081521,-350.965466490657,701.930932981314,0.0356949879965214,1,0.850146761300636,"auc_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,754.878602716243,835.128691816449,-359.439301358121,718.878602716243,0.23295404032342,1,0.629342050591174,"layer_biggest_change_logprob_correct","baseline_final","response_correct","filteredRealistic","gemma-2-2b",NA
"critical_fit",18,734.398876277883,814.64896537809,-349.199438138942,698.398876277883,3.56775169142759,1,0.0589120241731966,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","gemma-2-2b",NA
