"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,779.406469832837,855.198220649698,-372.703234916418,745.406469832837,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,777.026595960387,857.276685060594,-370.513297980194,741.026595960387,4.37987387244925,1,0.0363656883122547,"auc_entropy","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"baseline_midpoint_fit",17,759.920587887649,835.712338704511,-362.960293943825,725.920587887649,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,761.882022061361,842.132111161567,-362.941011030681,725.882022061361,0.0385658262882771,1,0.844311310674307,"auc_entropy","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,775.269329101179,855.519418201386,-369.63466455059,739.269329101179,6.13714073165727,1,0.0132371187296769,"layer_biggest_change_entropy","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,761.920426651373,842.170515751579,-362.960213325686,725.920426651373,0.000161236276539967,1,0.989868826074337,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,781.405532093344,861.65562119355,-372.702766046672,745.405532093344,0.000937739493110712,1,0.975570572285355,"auc_rank_correct","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,761.633999840674,841.884088940881,-362.816999920337,725.633999840674,0.286588046974998,1,0.59241533232195,"auc_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,780.650325331188,860.900414431395,-372.325162665594,744.650325331188,0.75614450164835,1,0.384537790718378,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,759.529905919056,839.779995019262,-361.764952959528,723.529905919056,2.39068196859387,1,0.122060370223989,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,758.985886294013,839.235975394219,-361.492943147006,722.985886294013,22.420583538824,1,2.19014211064256e-06,"auc_logprob_correct","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,760.318164997275,840.568254097481,-362.159082498637,724.318164997275,1.60242289037456,1,0.205560189556574,"auc_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,780.393188848788,860.643277948994,-372.196594424394,744.393188848788,1.01328098404883,1,0.314118097857834,"layer_biggest_change_logprob_correct","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,761.514066006229,841.764155106435,-362.757033003114,725.514066006229,0.406521881420417,1,0.523740160987633,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2-xl",NA
"critical_fit",18,760.790304528787,841.040393628993,-362.395152264394,724.790304528787,20.6161653040497,1,5.61202444520766e-06,"auc_logprobdiff_pos","baseline_final","response_correct","filteredRealistic","gpt2-xl",NA
