"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,745.165593902018,820.95734471888,-355.582796951009,711.165593902018,NA,NA,NA,"baseline_final","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,743.680723235404,823.93081233561,-353.840361617702,707.680723235404,3.4848706666146,1,0.061932200620567,"auc_entropy","baseline_final","response_correct","filteredRealistic","gpt2",NA
"baseline_midpoint_fit",17,780.460002528787,856.251753345648,-373.230001264393,746.460002528787,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,773.117078585503,853.36716768571,-368.558539292752,737.117078585503,9.34292394328327,1,0.00223848089204457,"auc_entropy","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",17,745.165593902018,820.95734471888,-355.582796951009,711.165593902018,0,0,NA,"layer_biggest_change_entropy","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",17,780.460002528787,856.251753345648,-373.230001264393,746.460002528787,0,0,NA,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,745.699825866572,825.949914966778,-354.849912933286,709.699825866572,1.4657680354461,1,0.226014591175928,"auc_rank_correct","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,782.486452434163,862.736541534369,-373.243226217081,746.486452434163,0,1,1,"auc_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,744.148011841887,824.398100942093,-354.074005920943,708.148011841887,3.01758206013142,1,0.0823661865985881,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,782.37261666698,862.622705767186,-373.18630833349,746.37261666698,0.0873858618068653,1,0.767527174069745,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,747.059956325317,827.310045425523,-355.529978162659,711.059956325317,0.105637576701042,1,0.745166428258143,"auc_logprob_correct","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,773.972957588083,854.223046688289,-368.986478794041,737.972957588083,8.4870449407041,1,0.00357684305062552,"auc_logprob_correct","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,746.743628333982,826.993717434189,-355.371814166991,710.743628333982,0.42196556803583,1,0.515957889987566,"auc_logprobdiff_pos","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,775.987139135595,856.237228235802,-369.993569567798,739.987139135595,6.47286339319123,1,0.0109533913359565,"auc_logprobdiff_pos","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,746.816539074283,827.06662817449,-355.408269537142,710.816539074283,0.349054827734676,1,0.554648657383194,"auc_logprobdiff_neg","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,770.800435494354,851.05052459456,-367.400217747177,734.800435494354,11.6595670344328,1,0.000638732046695024,"auc_logprobdiff_neg","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,745.042687203417,825.292776303624,-354.521343601709,709.042687203417,2.12290669860067,1,0.145110914645168,"layer_biggest_change_logprobdiff","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,780.277606244341,860.527695344547,-372.138803122171,744.277606244341,2.18239628444553,1,0.13959696154207,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,747.136612302125,827.386701402332,-355.568306151063,711.136612302125,0.0289815998927452,1,0.864821528661451,"auc_boosting_pos","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,782.215230352223,862.46531945243,-373.107615176112,746.215230352223,0.244772176563288,1,0.620780445209621,"auc_boosting_pos","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,742.787320433089,823.037409533295,-353.393660216545,706.787320433089,4.37827346892891,1,0.0363998504226072,"auc_boosting_neg","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,782.449082020538,862.699171120744,-373.224541010269,746.449082020538,0.0109205082484323,1,0.916771587757808,"auc_boosting_neg","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,746.162689470231,826.412778570438,-355.081344735116,710.162689470231,1.00290443178676,1,0.316608739518656,"layer_argmax_boosting","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,781.004370901737,861.254460001943,-372.502185450868,745.004370901737,1.45563162704991,1,0.22762645553644,"layer_argmax_boosting","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,747.123979450045,827.374068550251,-355.561989725022,711.123979450045,0.0416144519731461,1,0.838356463917706,"twostage_magnitude","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,766.32131288535,846.571401985556,-365.160656442675,730.32131288535,16.1386896434371,1,5.88690605909805e-05,"twostage_magnitude","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,747.123979450045,827.374068550251,-355.561989725022,711.123979450045,0.0416144519731461,1,0.838356463917706,"twostage_magnitude_latter34","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,766.32131288535,846.571401985556,-365.160656442675,730.32131288535,16.1386896434371,1,5.88690605909805e-05,"twostage_magnitude_latter34","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,746.370915162531,826.621004262737,-355.185457581265,710.370915162531,0.794678739487495,1,0.372689116360075,"twostage_layer","baseline_final","response_correct","filteredRealistic","gpt2",NA
"critical_fit",18,774.664410426545,854.914499526751,-369.332205213273,738.664410426545,7.79559210224147,1,0.00523738447386141,"twostage_layer","baseline_midpoint","response_correct","filteredRealistic","gpt2",NA
