"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,209.383981401314,262.461659428121,-86.6919907006569,173.383981401314,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,210.458873778754,266.48531169594,-86.2294368893772,172.458873778754,0.925107622559239,1,0.336137441490249,"auc_entropy","baseline_final","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"baseline_midpoint_fit",18,211.863530105892,264.941208132699,-87.931765052946,175.863530105892,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,209.570986204809,265.597424121994,-85.7854931024045,171.570986204809,4.29254390108315,1,0.0382798490738072,"auc_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",18,209.383981401314,262.461659428121,-86.6919907006569,173.383981401314,0,0,NA,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",18,211.863530105892,264.941208132699,-87.931765052946,175.863530105892,0,0,NA,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,210.471552987562,266.497990904747,-86.2357764937809,172.471552987562,0.912428413751968,1,0.339470909104992,"auc_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,212.043873826686,268.070311743871,-87.0219369133431,174.043873826686,1.81965627920582,1,0.177354196224127,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,211.344588523376,267.371026440561,-86.672294261688,173.344588523376,0.0393928779377291,1,0.842672354264824,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
"critical_fit",19,212.593291171129,268.619729088314,-87.2966455855643,174.593291171129,1.27023893476346,1,0.259721860690699,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Falcon3-3B-Base",NA
