"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,205.850707687521,258.928385714328,-84.9253538437605,169.850707687521,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,207.803277647497,263.829715564682,-84.9016388237485,169.803277647497,0.0474300400241248,1,0.827597108526726,"auc_entropy","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit",18,203.751979312407,256.829657339214,-83.8759896562035,167.751979312407,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,203.920856163588,259.947294080774,-82.9604280817942,165.920856163588,1.83112314881851,1,0.175994942339972,"auc_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,204.728706122673,260.755144039858,-83.3643530613365,166.728706122673,3.12200156484795,1,0.0772418508436388,"auc_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.382296045993,261.408733963178,-83.6911480229963,167.382296045993,0.369683266414285,1,0.54317696570055,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,207.845792508132,263.872230425318,-84.9228962540662,169.845792508132,0.00491517938860397,1,0.944107428388686,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.314923999886,261.341361917072,-83.6574619999432,167.314923999886,0.437055312520499,1,0.508547165584564,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,206.802629531368,262.829067448553,-84.4013147656841,168.802629531368,1.0480781561528,1,0.305950120275784,"auc_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.744442305312,261.770880222497,-83.872221152656,167.744442305312,0.00753700709483951,1,0.930817818746643,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,207.040296743926,263.066734661111,-84.520148371963,169.040296743926,0.810410943594945,1,0.36799878299048,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.018158608715,261.0445965259,-83.5090793043576,167.018158608715,0.733820703691805,1,0.391647546149724,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,207.55619701167,263.582634928856,-84.7780985058352,169.55619701167,0.294510675850631,1,0.587344377354301,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.715077199144,261.741515116329,-83.8575385995718,167.715077199144,0.0369021132632668,1,0.847664479892047,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,207.808654666055,263.83509258324,-84.9043273330275,169.808654666055,0.0420530214660175,1,0.83751873673326,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
"critical_fit",19,205.74987826141,261.776316178595,-83.874939130705,167.74987826141,0.00210105099688462,1,0.96343999044832,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","Llama-2-7b-hf",NA
