"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,220.383031667271,270.5119498037,-93.1915158336353,186.383031667271,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,218.113049272447,271.190727299254,-91.0565246362233,182.113049272447,4.26998239482401,1,0.0387913323877773,"auc_entropy","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",18,206.67369975302,259.751377779827,-85.3368498765102,170.67369975302,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,206.914072541606,262.940510458792,-84.4570362708032,168.914072541606,1.759627211414,1,0.184671020732749,"auc_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,221.953485269744,275.031163296551,-92.9767426348721,185.953485269744,0.429546397526451,1,0.512211608020502,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.544743034907,264.571180952092,-85.2723715174534,170.544743034907,0.128956718113528,1,0.719516211026205,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,220.077872281459,273.155550308266,-92.0389361407294,184.077872281459,2.30515938581189,1,0.128945053251873,"auc_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.428740197024,264.45517811421,-85.2143700985121,170.428740197024,0.244959555996019,1,0.620646786912728,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,219.103127128208,272.180805155015,-91.5515635641041,183.103127128208,3.2799045390625,1,0.0701330081353674,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,207.112563493104,263.139001410289,-84.5562817465521,169.112563493104,1.56113625991614,1,0.211498927508934,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,216.994463658995,270.072141685802,-90.4972318294974,180.994463658995,5.3885680082758,1,0.0202690979240861,"auc_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.636393944877,264.662831862062,-85.3181969724386,170.636393944877,0.0373058081432021,1,0.84684375464033,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,217.254435456117,270.332113482924,-90.6272177280587,181.254435456117,5.12859621115334,1,0.0235347546714924,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.311533949084,264.337971866269,-85.1557669745418,170.311533949084,0.362165803936676,1,0.547305856985059,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,218.245094561425,271.322772588233,-91.1225472807127,182.245094561425,4.1379371058452,1,0.041932240518437,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.61705918953,264.643497106715,-85.3085295947649,170.61705918953,0.0566405634905323,1,0.8118866938091,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,219.704463104876,272.782141131683,-91.8522315524379,183.704463104876,2.67856856239493,1,0.101707113101191,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.334436534263,264.360874451448,-85.1672182671314,170.334436534263,0.339263218757452,1,0.56025481502753,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,219.103127128208,272.180805155015,-91.5515635641042,183.103127128208,3.27990453906236,1,0.0701330081353734,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.672062942424,264.698500859609,-85.3360314712118,170.672062942424,0.00163681059680698,1,0.96772837665134,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,220.287432872269,273.365110899076,-92.1437164361343,184.287432872269,2.09559879500202,1,0.147723825229269,"auc_boosting_pos","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.644108902904,264.670546820089,-85.3220544514519,170.644108902904,0.0295908501165343,1,0.863421874843941,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,220.637839832741,273.715517859548,-92.3189199163706,184.637839832741,1.74519183452946,1,0.186482329282987,"auc_boosting_neg","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.57865059108,264.605088508265,-85.2893252955399,170.57865059108,0.0950491619405227,1,0.757853730483563,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,219.103127128211,272.180805155018,-91.5515635641053,183.103127128211,3.27990453906011,1,0.0701330081354697,"layer_argmax_boosting","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.672062942424,264.698500859609,-85.3360314712119,170.672062942424,0.0016368105964375,1,0.96772837665498,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,217.629775117642,270.707453144449,-90.8148875588209,181.629775117642,4.75325654962884,1,0.0292429028386647,"twostage_magnitude","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.230156706078,264.256594623263,-85.1150783530388,170.230156706078,0.443543046942779,1,0.505417316183051,"twostage_magnitude","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",18,218.211327445901,271.289005472708,-91.1056637229506,182.211327445901,4.17170422136945,1,0.0411044344954282,"twostage_magnitude_latter34","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,208.308051200918,264.334489118104,-85.1540256004592,170.308051200918,0.365648552101987,1,0.545385787317982,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",17,220.383031668588,270.511949805017,-93.1915158342939,186.383031668588,0,0,NA,"twostage_layer","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,207.119438283185,263.14587620037,-84.5597191415923,169.119438283185,1.55426146983569,1,0.212507433535339,"twostage_layer","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-1124-13B",NA
