"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,200.147405972311,253.225083999118,-82.0737029861555,164.147405972311,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,201.785829482462,257.812267399647,-81.8929147412309,163.785829482462,0.361576489849227,1,0.547631994408212,"auc_entropy","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"baseline_midpoint_fit",18,208.476884597096,261.554562623903,-86.2384422985478,172.476884597096,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,209.713818871706,265.740256788891,-85.8569094358529,171.713818871706,0.763065725389794,1,0.382370811360925,"auc_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",18,200.147405972311,253.225083999118,-82.0737029861555,164.147405972311,0,0,NA,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",18,208.476884597096,261.554562623903,-86.2384422985478,172.476884597096,0,0,NA,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,202.082818312109,258.109256229294,-82.0414091560545,164.082818312109,0.0645876602021076,1,0.79938661077221,"auc_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,207.511270572109,263.537708489294,-84.7556352860545,169.511270572109,2.96561402498668,1,0.0850521615773332,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,201.891071124801,257.917509041986,-81.9455355624005,163.891071124801,0.256334847510118,1,0.612649419696042,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,210.208597717959,266.235035635144,-86.1042988589795,172.208597717959,0.268286879136554,1,0.604483269998598,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,202.102847752021,258.129285669206,-82.0514238760105,164.102847752021,0.0445582202900425,1,0.832818462398941,"auc_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,210.101669448298,266.128107365483,-86.050834724149,172.101669448298,0.375215148797736,1,0.540175198317435,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,201.42497339476,257.451411311945,-81.7124866973798,163.42497339476,0.722432577551388,1,0.395347137039387,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,206.413015686784,262.439453603969,-84.206507843392,168.413015686784,4.06386891031173,1,0.0438100159709857,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,201.709576088902,257.736014006087,-81.8547880444511,163.709576088902,0.437829883408767,1,0.50817174221401,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,209.786811359228,265.813249276413,-85.8934056796141,171.786811359228,0.690073237867409,1,0.406139470919179,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","gpt2",NA
"critical_fit",19,202.129173802064,258.155611719249,-82.0645869010318,164.129173802064,0.0182321702475008,1,0.892590879642152,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffectsCorrect","gpt2",NA
