"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,477.838581965211,545.836323783218,-220.919290982605,441.838581965211,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,478.39774045291,550.17313459414,-220.198870226455,440.39774045291,1.44084151230061,1,0.230003214009276,"auc_entropy","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"baseline_midpoint_fit",18,465.550915784931,533.548657602939,-214.775457892466,429.550915784931,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,466.570131792109,538.34552593334,-214.285065896055,428.570131792109,0.980783992821841,1,0.322005327590448,"auc_entropy","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.829273333892,551.604667475123,-220.914636666946,441.829273333892,0.00930863131827664,1,0.923138365946929,"auc_rank_correct","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,464.766526839402,536.541920980633,-213.383263419701,426.766526839402,2.78438894552909,1,0.09518699397315,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.398163450025,551.173557591256,-220.699081725013,441.398163450025,0.44041851518557,1,0.506920525059253,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.479419465786,539.254813607016,-214.739709732893,429.479419465786,0.0714963191455809,1,0.789170471493476,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.363666859114,551.139061000345,-220.681833429557,441.363666859114,0.474915106096205,1,0.490734637677121,"auc_logprob_correct","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.059301018742,538.834695159973,-214.529650509371,429.059301018742,0.491614766189059,1,0.483207877157115,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",18,477.838581965211,545.836323783219,-220.919290982605,441.838581965211,0,0,NA,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.451323509026,539.226717650256,-214.725661754513,429.451323509026,0.0995922759053087,1,0.752319468536649,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,474.028505230604,545.803899371835,-218.014252615302,436.028505230604,5.81007673460624,1,0.0159345989142953,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,466.887655923793,538.663050065024,-214.443827961897,428.887655923793,0.663259861138215,1,0.415411443265968,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.838334863784,551.613729005015,-220.919167431892,441.838334863784,0.000247101426509744,1,0.987458201983099,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.295137946511,539.070532087741,-214.647568973255,429.295137946511,0.255777838420329,1,0.613035789099326,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",18,477.838581965211,545.836323783219,-220.919290982606,441.838581965211,0,0,NA,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.451323509026,539.226717650257,-214.725661754513,429.451323509026,0.0995922759050245,1,0.752319468536991,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.812982877174,551.588377018404,-220.906491438587,441.812982877174,0.0255990880370405,1,0.872883319196119,"auc_boosting_pos","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,465.743585198758,537.518979339988,-213.871792599379,427.743585198758,1.80733058617375,1,0.178828783209678,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,479.457502627304,551.232896768535,-220.728751313652,441.457502627304,0.381079337906215,1,0.537026158332286,"auc_boosting_neg","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,465.9140206877,537.68941482893,-213.95701034385,427.9140206877,1.63689509723145,1,0.200752005985191,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",18,477.838581965211,545.836323783219,-220.919290982606,441.838581965211,0,0,NA,"layer_argmax_boosting","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,467.451323509026,539.226717650257,-214.725661754513,429.451323509026,0.0995922759050245,1,0.752319468536991,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffects","Falcon3-1B-Base",NA
"critical_fit",19,476.178345180374,547.953739321605,-219.089172590187,438.178345180374,3.66023678483623,1,0.055725712922147,"twostage_magnitude","baseline_final","rt","filteredContentEffects","Falcon3-1B-Base",NA
