"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,491.664317631493,559.662059449501,-227.832158815746,455.664317631493,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,489.648831648402,561.424225789633,-225.824415824201,451.648831648402,4.0154859830904,1,0.045084228376705,"auc_entropy","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"baseline_midpoint_fit",18,473.073681145666,541.071422963674,-218.536840572833,437.073681145666,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,473.36353961648,545.13893375771,-217.68176980824,435.36353961648,1.71014152918639,1,0.190967008842026,"auc_entropy","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,484.808224717949,556.583618859179,-223.404112358974,446.808224717949,8.85609291354382,1,0.00292112161971843,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,469.879704671716,541.655098812946,-215.939852335858,431.879704671716,5.19397647394993,1,0.0226652985481213,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,483.531648362418,555.307042503649,-222.765824181209,445.531648362418,10.1326692690743,1,0.00145664312728994,"auc_rank_correct","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.968691192311,546.744085333541,-218.484345596155,436.968691192311,0.104989953355243,1,0.745921732545322,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,493.653650601956,565.429044743186,-227.826825300978,455.653650601956,0.0106670295369895,1,0.917739706663117,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.690343198181,546.465737339411,-218.34517159909,436.690343198181,0.383337947485131,1,0.535822215001278,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,491.502904092061,563.278298233292,-226.751452046031,453.502904092061,2.16141353943141,1,0.141514455033445,"auc_logprob_correct","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,475.030383736019,546.80577787725,-218.51519186801,437.030383736019,0.0432974096468115,1,0.835166271833217,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,493.662860854245,565.438254995475,-227.831430427122,455.662860854245,0.00145677724782445,1,0.969553932797128,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.27414801687,546.0495421581,-218.137074008435,436.27414801687,0.799533128796099,1,0.371232992995905,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,488.827740482433,560.603134623664,-225.413870241217,450.827740482433,4.83657714905945,1,0.027862144893815,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.847115422973,546.622509564203,-218.423557711486,436.847115422973,0.226565722693351,1,0.634082068996992,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,485.155504550785,556.930898692016,-223.577752275393,447.155504550785,8.5088130807074,1,0.00353430518087297,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,475.068430316408,546.843824457639,-218.534215158204,437.068430316408,0.00525082925776132,1,0.942233763354098,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",18,491.664317152311,559.662058970319,-227.832158576156,455.664317152311,4.79181551327201e-07,0,NA,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.326256946382,546.101651087612,-218.163128473191,436.326256946382,0.747424199283955,1,0.387292971858121,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,478.144483063471,549.919877204702,-220.072241531736,440.144483063471,15.5198345680213,1,8.16440730559177e-05,"auc_boosting_pos","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,475.039438176253,546.814832317484,-218.519719088127,437.039438176253,0.0342429694125599,1,0.853190948166151,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,493.163079044524,564.938473185754,-227.581539522262,455.163079044524,0.501238586969237,1,0.478956402822785,"auc_boosting_neg","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.890553733986,546.665947875217,-218.445276866993,436.890553733986,0.18312741167955,1,0.668699254713975,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",18,491.664317217078,559.662059035086,-227.832158608539,455.664317217078,4.14414614624548e-07,0,NA,"layer_argmax_boosting","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.326256946382,546.101651087613,-218.163128473191,436.326256946382,0.747424199283671,1,0.387292971858211,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,486.436277751908,558.211671893138,-224.218138875954,448.436277751908,7.2280398795852,1,0.00717735306470016,"twostage_magnitude","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,473.500971526056,545.276365667287,-217.750485763028,435.500971526056,1.57270961960961,1,0.209813947223011,"twostage_magnitude","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,490.194922054938,561.970316196168,-226.097461027469,452.194922054938,3.46939557655486,1,0.0625141493221878,"twostage_magnitude_latter34","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,474.26248138841,546.03787552964,-218.131240694205,436.26248138841,0.811199757255963,1,0.367765779694747,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,490.282419662229,562.057813803459,-226.141209831114,452.282419662229,3.38189796926389,1,0.0659161070809037,"twostage_layer","baseline_final","rt","filteredContentEffects","gemma-2-27b",NA
"critical_fit",19,475.044578015094,546.819972156325,-218.522289007547,437.044578015094,0.0291031305717979,1,0.86454113139734,"twostage_layer","baseline_midpoint","rt","filteredContentEffects","gemma-2-27b",NA
