"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,473.977064345409,541.974806163416,-218.988532172704,437.977064345409,NA,NA,NA,"baseline_final","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.865254656096,547.640648797326,-218.932627328048,437.865254656096,0.111809689313134,1,0.738093162331563,"auc_entropy","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"baseline_midpoint_fit",18,466.111452164397,534.109193982404,-215.055726082198,430.111452164397,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.070249492068,539.845643633298,-215.035124746034,430.070249492068,0.0412026723286658,1,0.83914721444423,"auc_entropy","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.823402667215,547.598796808446,-218.911701333608,437.823402667215,0.153661678193203,1,0.695060401988314,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,465.366015560917,537.141409702147,-213.683007780458,427.366015560917,2.74543660347967,1,0.0975324336404404,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.704735206499,547.48012934773,-218.85236760325,437.704735206499,0.272329138909413,1,0.601773628429616,"auc_rank_correct","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.281717303739,539.05711144497,-214.64085865187,429.281717303739,0.829734860657311,1,0.362349208008111,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,465.276487492997,537.051881634227,-213.638243746498,427.276487492997,10.700576852412,1,0.00107102135186711,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.061345299918,539.836739441149,-215.030672649959,430.061345299918,0.0501068644782663,1,0.822877425881562,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.527831804146,547.303225945377,-218.763915902073,437.527831804146,0.449232541262347,1,0.502699633744633,"auc_logprob_correct","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.099351013321,539.874745154552,-215.049675506661,430.099351013321,0.0121011510753419,1,0.912405225535489,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,471.512141777839,543.28753591907,-216.75607088892,433.512141777839,4.46492256756932,1,0.0345976577592484,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.065705949973,539.841100091204,-215.032852974987,430.065705949973,0.0457462144232181,1,0.830637793016428,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.90845882371,547.68385296494,-218.954229411855,437.90845882371,0.0686055216989416,1,0.793378064013455,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.935907699179,539.71130184041,-214.96795384959,429.935907699179,0.175544465217456,1,0.675230552972826,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,474.993769660786,546.769163802016,-218.496884830393,436.993769660786,0.983294684623104,1,0.321386753008925,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.866049014223,539.641443155453,-214.933024507111,429.866049014223,0.245403150173672,1,0.620330623374965,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.495350090381,547.270744231612,-218.747675045191,437.495350090381,0.481714255027271,1,0.487646853925643,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.042611391595,539.818005532826,-215.021305695798,430.042611391595,0.0688407728012521,1,0.793032150652112,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,473.559946999989,545.33534114122,-217.779973499995,435.559946999989,2.41711734541963,1,0.120015599311868,"auc_boosting_pos","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.44468666177,539.220080803001,-214.722343330885,429.44468666177,0.666765502626333,1,0.414181578009382,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,470.214867465946,541.990261607177,-216.107433732973,432.214867465946,5.76219687946246,1,0.0163745858549176,"auc_boosting_neg","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.110300913194,539.885695054425,-215.055150456597,430.110300913194,0.00115125120231596,1,0.972932896356222,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,473.245425313868,545.020819455099,-217.622712656934,435.245425313868,2.73163903154051,1,0.0983782756772759,"layer_argmax_boosting","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.170174938002,538.945569079232,-214.585087469001,429.170174938002,0.941277226394732,1,0.331949588041474,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.823708245784,547.599102387014,-218.911854122892,437.823708245784,0.153356099625171,1,0.695348561010055,"twostage_magnitude","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.352792633853,539.128186775083,-214.676396316926,429.352792633853,0.758659530543696,1,0.383748344929902,"twostage_magnitude","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,475.823708245784,547.599102387014,-218.911854122892,437.823708245784,0.153356099625171,1,0.695348561010055,"twostage_magnitude_latter34","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,467.352792633853,539.128186775083,-214.676396316926,429.352792633853,0.758659530543696,1,0.383748344929902,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",18,473.97706434541,541.974806163418,-218.988532172705,437.97706434541,0,0,NA,"twostage_layer","baseline_final","rt","filteredContentEffects","gpt2-xl",NA
"critical_fit",19,468.10585621657,539.881250357801,-215.052928108285,430.10585621657,0.00559594782629347,1,0.94036901369362,"twostage_layer","baseline_midpoint","rt","filteredContentEffects","gpt2-xl",NA
