"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,884.995113290874,964.584314111391,-424.497556645437,848.995113290874,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,881.582747246324,965.593570334648,-421.791373623162,843.582747246324,5.41236604454969,1,0.0199945976461955,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit",18,902.465681381645,982.054882202162,-433.232840690822,866.465681381645,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,904.359291714797,988.37011480312,-433.179645857398,866.359291714797,0.106389666848258,1,0.744292492926178,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.978187870654,970.989010958978,-424.489093935327,848.978187870654,0.0169254202190814,1,0.896489103416762,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,904.441503532574,988.452326620897,-433.220751766287,866.441503532574,0.0241778490714069,1,0.876433239763418,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,883.468377880644,967.479200968968,-422.734188940322,845.468377880644,3.52673541022943,1,0.0603865772512966,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,902.926448380553,986.937271468877,-432.463224190277,864.926448380553,1.5392330010917,1,0.214732007517295,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.577854955688,970.588678044012,-424.288927477844,848.577854955688,0.417258335185579,1,0.518308261590406,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,904.129120816482,988.139943904805,-433.064560408241,866.129120816482,0.336560565163268,1,0.561821288967446,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.813328353891,970.824151442215,-424.406664176945,848.813328353891,0.181784936982694,1,0.669843760176388,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,904.463392502563,988.474215590887,-433.231696251282,866.463392502563,0.00228887908156139,1,0.961841979480587,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.045487805693,970.056310894017,-424.022743902847,848.045487805693,0.949625485180263,1,0.32981464515403,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,902.391047121793,986.401870210116,-432.195523560896,864.391047121793,2.07463425985225,1,0.149765836355529,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.974068682676,970.984891771,-424.487034341338,848.974068682676,0.0210446081977125,1,0.884657500110631,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,904.259072935101,988.269896023425,-433.129536467551,866.259072935101,0.206608446543669,1,0.649438756245002,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,885.690160450688,969.700983539012,-423.845080225344,847.690160450688,1.30495284018514,1,0.253310508389225,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,903.215352696051,987.226175784375,-432.607676348026,865.215352696051,1.2503286855939,1,0.263489709405071,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.43087220121,970.441695289534,-424.215436100605,848.43087220121,0.56424108966371,1,0.45255647240219,"auc_boosting_pos","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,900.56600253061,984.576825618933,-431.283001265305,862.56600253061,3.89967885103533,1,0.0482953387852486,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.956593436202,970.967416524526,-424.478296718101,848.956593436202,0.0385198546716765,1,0.844402945072389,"auc_boosting_neg","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,900.018349175256,984.02917226358,-431.009174587628,862.018349175256,4.44733220638864,1,0.0349558139777793,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",18,884.995113290874,964.584314111391,-424.497556645437,848.995113290874,0,0,NA,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,901.680280653205,985.691103741528,-431.840140326602,863.680280653205,2.78540072844032,1,0.095126895867149,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.932106826799,970.942929915123,-424.4660534134,848.932106826799,0.0630064640745331,1,0.801805694026866,"twostage_magnitude","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,900.825590173076,984.8364132614,-431.412795086538,862.825590173076,3.64009120856917,1,0.0564038442165899,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,886.932106826799,970.942929915123,-424.4660534134,848.932106826799,0.0630064640745331,1,0.801805694026866,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,900.825590173076,984.8364132614,-431.412795086538,862.825590173076,3.64009120856917,1,0.0564038442165899,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",19,883.385719179779,967.396542268103,-422.69285958989,845.385719179779,3.60939411109428,1,0.0574540478348095,"twostage_layer","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
