"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,880.295862222846,959.885063043363,-422.147931111423,844.295862222846,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,874.092882425394,958.103705513718,-418.046441212697,836.092882425394,8.20297979745158,1,0.00418216481422634,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"baseline_midpoint_fit",18,890.276199621088,969.865400441606,-427.138099810544,854.276199621088,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,891.938983869778,975.949806958102,-426.969491934889,853.938983869778,0.337215751310737,1,0.561440768842783,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,879.353068608547,963.363891696871,-420.676534304274,841.353068608547,2.94279361429847,1,0.0862614248036519,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,891.197747424596,975.20857051292,-426.598873712298,853.197747424596,1.07845219649255,1,0.299044068380195,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,879.829845144084,963.840668232408,-420.914922572042,841.829845144084,2.46601707876187,1,0.116332378519065,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,892.238390516989,976.249213605312,-427.119195258494,854.238390516989,0.0378091040998925,1,0.845826961928977,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,879.962800274566,963.97362336289,-420.981400137283,841.962800274566,2.33306194827935,1,0.126652531528796,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,888.055725812884,972.066548901208,-425.027862906442,850.055725812884,4.22047380820447,1,0.039939006717224,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,876.925867815756,960.93669090408,-419.462933907878,838.925867815756,5.36999440708996,1,0.0204860432451673,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,891.786747934641,975.797571022965,-426.89337396732,853.786747934641,0.489451686447751,1,0.484171996543155,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,882.295681682746,966.30650477107,-422.147840841373,844.295681682746,0.000180540099336213,1,0.989279529841559,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",19,890.849806030178,974.860629118502,-426.424903015089,852.849806030178,1.42639359091061,1,0.232353909235768,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
