"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,876.245103765014,955.834304585531,-420.122551882507,840.245103765014,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.238386781654,962.249209869978,-420.119193390827,840.238386781654,0.00671698335952442,1,0.934680744828126,"auc_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",18,871.471133970488,951.060334791005,-417.735566985244,835.471133970488,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,870.619296240915,954.630119329238,-416.309648120457,832.619296240915,2.85183772957294,1,0.091269553656516,"auc_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,877.010153614586,961.02097670291,-419.505076807293,839.010153614586,1.23495015042772,1,0.266446507177862,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.45623853044,957.467061618764,-417.72811926522,835.45623853044,0.0148954400474395,1,0.902861893706122,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.244908900422,962.255731988746,-420.122454450211,840.244908900422,0.000194864591662736,1,0.988862379320512,"auc_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.005430593709,956.016253682033,-417.002715296855,834.005430593709,1.46570337677838,1,0.226024829491685,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.085851298194,962.096674386518,-420.042925649097,840.085851298194,0.159252466820249,1,0.689845686744877,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.384656153969,957.395479242293,-417.692328076984,835.384656153969,0.0864778165185953,1,0.768703567803485,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.242673468627,962.253496556951,-420.121336734314,840.242673468627,0.00243029638681946,1,0.960681784391933,"auc_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,871.012420426503,955.023243514827,-416.506210213252,833.012420426503,2.45871354398457,1,0.116874468834202,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,877.841191570854,961.852014659177,-419.920595785427,839.841191570854,0.403912194160284,1,0.525075721796783,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.438830733138,957.449653821462,-417.719415366569,835.438830733138,0.0323032373496517,1,0.857363744350654,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.244746740245,962.255569828569,-420.122373370122,840.244746740245,0.000357024768959491,1,0.984924789217825,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.214534533399,957.225357621723,-417.6072672667,835.214534533399,0.256599437088425,1,0.612466071847366,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.236629785644,962.247452873968,-420.118314892822,840.236629785644,0.00847397936956895,1,0.926654961311255,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.56864701881,956.579470107134,-417.284323509405,834.56864701881,0.902486951677247,1,0.342115742161557,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.11366137341,962.124484461734,-420.056830686705,840.11366137341,0.131442391603741,1,0.716941180827336,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.901248668781,956.912071757105,-417.45062433439,834.901248668781,0.56988530170679,1,0.450304498024288,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,877.946141874744,961.956964963068,-419.973070937372,839.946141874744,0.298961890269766,1,0.58453395534865,"auc_boosting_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.384726817509,957.395549905832,-417.692363408754,835.384726817509,0.0864071529789499,1,0.768795394951368,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.242046677013,962.252869765337,-420.121023338506,840.242046677013,0.00305708800124194,1,0.955906680282146,"auc_boosting_neg","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,871.559502951362,955.570326039686,-416.779751475681,833.559502951362,1.91163101912559,1,0.166782194930904,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.242681396687,962.253504485011,-420.121340698344,840.242681396687,0.00242236832662002,1,0.960745916443607,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.211563094294,956.222386182618,-417.105781547147,834.211563094294,1.25957087619315,1,0.261732333495166,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.244880785341,962.255703873665,-420.122440392671,840.244880785341,0.000222979672457768,1,0.988086028455052,"twostage_magnitude","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.587782796825,956.598605885149,-417.293891398412,834.587782796825,0.883351173662618,1,0.347285459907694,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.243148158748,962.253971247072,-420.121574079374,840.243148158748,0.0019556062659376,1,0.964727256641391,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,872.171818143376,956.1826412317,-417.085909071688,834.171818143376,1.29931582711174,1,0.254338233466459,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,878.227469529537,962.238292617861,-420.113734764768,840.227469529537,0.0176342354769758,1,0.894356332274809,"twostage_layer","baseline_final","rt","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",19,873.364901935412,957.375725023735,-417.682450967706,835.364901935412,0.106232035076005,1,0.744475378711293,"twostage_layer","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-13B",NA
