"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,894.92836961145,974.517570431968,-429.464184805725,858.92836961145,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,892.145408203559,976.156231291883,-427.072704101779,854.145408203559,4.78296140789178,1,0.0287426507075825,"auc_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit",18,884.920079229572,964.509280050089,-424.460039614786,848.920079229572,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.918595079561,970.929418167885,-424.45929753978,848.918595079561,0.00148415001081048,1,0.969269364208584,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.843230412237,980.85405350056,-429.421615206118,858.843230412237,0.085139199213927,1,0.770450080491239,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,884.428176312286,968.43899940061,-423.214088156143,846.428176312286,2.49190291728519,1,0.114433290136512,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.213033760119,980.223856848442,-429.106516880059,858.213033760119,0.715335851331929,1,0.397678109292696,"auc_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.827175682581,970.837998770905,-424.413587841291,848.827175682581,0.0929035469902146,1,0.760517848063866,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.546555003304,980.557378091628,-429.273277501652,858.546555003304,0.381814608146215,1,0.536633685250428,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.823748739522,970.834571827846,-424.411874369761,848.823748739522,0.0963304900495814,1,0.756278437453653,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,893.262508799204,977.273331887528,-427.631254399602,855.262508799204,3.66586081224648,1,0.0555379475702665,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.773096165868,970.783919254192,-424.386548082934,848.773096165868,0.146983063703942,1,0.70143528509179,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.829816501099,980.840639589423,-429.414908250549,858.829816501099,0.0985531103517587,1,0.753572915776563,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.918814441848,970.929637530172,-424.459407220924,848.918814441848,0.00126478772392602,1,0.971630130266009,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.927811378131,980.938634466455,-429.463905689066,858.927811378131,0.000558233319452484,1,0.981150165820074,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.313515271673,970.324338359997,-424.156757635837,848.313515271673,0.606563957898516,1,0.436084481673507,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,893.429832614517,977.440655702841,-427.714916307258,855.429832614517,3.49853699693369,1,0.0614230679536337,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.30105808882,970.311881177144,-424.15052904441,848.30105808882,0.619021140752011,1,0.431411268872242,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.90242974951,980.913252837833,-429.451214874755,858.90242974951,0.0259398619410831,1,0.872047273039886,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,883.52241453825,967.533237626573,-422.761207269125,845.52241453825,3.39766469132223,1,0.065288791529045,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.308665583594,980.319488671918,-429.154332791797,858.308665583594,0.619704027856415,1,0.431157292308204,"auc_boosting_pos","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.281205013294,970.292028101617,-424.140602506647,848.281205013294,0.638874216278055,1,0.424118753964977,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,874.606005009128,958.616828097451,-418.303002504564,836.606005009128,22.322364602323,1,2.30506378008362e-06,"auc_boosting_neg","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,883.275780907632,967.286603995956,-422.637890453816,845.275780907632,3.64429832193957,1,0.0562615064011849,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,896.772932683799,980.783755772123,-429.3864663419,858.772932683799,0.155436927651522,1,0.693392855446438,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.918105017917,970.928928106241,-424.459052508958,848.918105017917,0.00197421165478318,1,0.964559973512048,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,893.971645640886,977.98246872921,-427.985822820443,855.971645640886,2.95672397056455,1,0.0855210547745647,"twostage_magnitude","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.874624965031,970.885448053355,-424.437312482516,848.874624965031,0.0454542645403535,1,0.831170923378864,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,893.971645640886,977.98246872921,-427.985822820443,855.971645640886,2.95672397056455,1,0.0855210547745647,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,886.874624965031,970.885448053355,-424.437312482516,848.874624965031,0.0454542645403535,1,0.831170923378864,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",18,894.928369611452,974.517570431969,-429.464184805726,858.928369611452,0,0,NA,"twostage_layer","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit",19,879.286447502545,963.297270590869,-420.643223751273,841.286447502545,7.63363172702645,1,0.00572898293025757,"twostage_layer","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
