"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,524.597409645352,596.48871533687,-244.298704822676,488.597409645352,NA,NA,NA,"baseline_final","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,526.592105002441,602.477372121266,-244.29605250122,488.592105002441,0.00530464291102817,1,0.941939026748568,"auc_entropy","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"baseline_midpoint_fit",18,543.41329076026,615.304596451779,-253.70664538013,507.41329076026,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,540.478953884581,616.364221003406,-251.239476942291,502.478953884581,4.93433687567921,1,0.0263281627556262,"auc_entropy","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,524.186381584962,600.071648703787,-243.093190792481,486.186381584962,2.41102806038964,1,0.120483218541967,"layer_biggest_change_entropy","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,542.678338930627,618.563606049452,-252.339169465314,504.678338930627,2.73495182963291,1,0.0981744615469917,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,524.77801230714,600.663279425965,-243.38900615357,486.77801230714,1.81939733821145,1,0.177385029979493,"auc_rank_correct","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.258463072357,621.143730191182,-253.629231536179,507.258463072357,0.154827687903264,1,0.693963887976252,"auc_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.941238181586,601.826505300411,-243.970619090793,487.941238181586,0.656171463765645,1,0.417914823227852,"layer_biggest_change_rank_correct","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.408970267812,621.294237386637,-253.704485133906,507.408970267812,0.00432049244847121,1,0.947592426863971,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.92257733243,601.807844451255,-243.961288666215,487.92257733243,0.674832312921865,1,0.411371898791934,"auc_logprob_correct","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,543.412923542684,619.298190661509,-252.706461771342,505.412923542684,2.00036721757641,1,0.157261103605227,"auc_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,522.773362731303,598.658629850128,-242.386681365652,484.773362731303,3.82404691404861,1,0.0505220734937235,"auc_logprobdiff_pos","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.342076883707,621.227344002532,-253.671038441854,507.342076883707,0.0712138765529744,1,0.789577508047242,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.950461395875,601.8357285147,-243.975230697937,487.950461395875,0.64694824947702,1,0.421205877663446,"auc_logprobdiff_neg","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,544.156071038617,620.041338157442,-253.078035519309,506.156071038617,1.25721972164337,1,0.26217801616283,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.183889689542,601.069156808367,-243.591944844771,487.183889689542,1.41351995580982,1,0.23447293835491,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,544.924508724122,620.809775842947,-253.462254362061,506.924508724123,0.488782036137877,1,0.48447111380842,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.44958234711,601.334849465934,-243.724791173555,487.44958234711,1.14782729824213,1,0.284004434433324,"auc_boosting_pos","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,539.574765615531,615.460032734356,-250.787382807766,501.574765615531,5.83852514472898,1,0.0156789637901292,"auc_boosting_pos","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.302159036502,601.187426155326,-243.651079518251,487.302159036502,1.29525060885027,1,0.255082580368918,"auc_boosting_neg","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.041724216967,620.926991335792,-253.520862108484,507.041724216967,0.371566543293284,1,0.542151603700701,"auc_boosting_neg","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,526.293049494452,602.178316613277,-244.146524747226,488.293049494452,0.304360150899811,1,0.581161821455633,"layer_argmax_boosting","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.236557226022,621.121824344847,-253.618278613011,507.236557226022,0.176733534238167,1,0.674195549118522,"layer_argmax_boosting","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.051154744806,600.93642186363,-243.525577372403,487.051154744806,1.5462549005461,1,0.21368917168026,"twostage_magnitude","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.267096171689,621.152363290514,-253.633548085845,507.267096171689,0.146194588571234,1,0.702198798569754,"twostage_magnitude","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.051154744806,600.93642186363,-243.525577372403,487.051154744806,1.5462549005461,1,0.21368917168026,"twostage_magnitude_latter34","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.267096171689,621.152363290514,-253.633548085845,507.267096171689,0.146194588571234,1,0.702198798569754,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,525.309497250309,601.194764369134,-243.654748625155,487.309497250309,1.28791239504238,1,0.256433026354665,"twostage_layer","baseline_final","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
"critical_fit",19,545.04772904531,620.932996164135,-253.523864522655,507.04772904531,0.365561714950104,1,0.545433509396297,"twostage_layer","baseline_midpoint","rt","filteredRealisticCorrect","Llama-2-13b-hf",NA
