"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",18,545.14420064358,617.035506335098,-254.57210032179,509.14420064358,NA,NA,NA,"baseline_final","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,546.927865350857,622.813132469681,-254.463932675428,508.927865350857,0.216335292723613,1,0.64184654168164,"auc_entropy","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"baseline_midpoint_fit",18,521.398082136686,593.289387828204,-242.699041068343,485.398082136686,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,517.900603406071,593.785870524895,-239.950301703035,479.90060340607,5.49747873061568,1,0.0190439122571448,"auc_entropy","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,547.071961748959,622.957228867784,-254.535980874479,509.071961748959,0.0722388946213641,1,0.788104416166744,"layer_biggest_change_entropy","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,523.048252245517,598.933519364342,-242.524126122758,485.048252245517,0.349829891169236,1,0.554209440343385,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,546.865012015754,622.750279134579,-254.432506007877,508.865012015754,0.279188627826386,1,0.597233512496152,"auc_rank_correct","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,521.196211804322,597.081478923146,-241.598105902161,483.196211804322,2.20187033236465,1,0.137843398144086,"auc_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,545.545822761505,621.43108988033,-253.772911380753,507.545822761505,1.59837788207511,1,0.206133240041036,"layer_biggest_change_rank_correct","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,523.362016070005,599.24728318883,-242.681008035003,485.362016070005,0.0360660666811441,1,0.849379122717623,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,546.120471866821,622.005738985646,-254.06023593341,508.120471866821,1.02372877675936,1,0.311636162746395,"auc_logprob_correct","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,521.850186246429,597.735453365254,-241.925093123215,483.850186246429,1.54789589025711,1,0.213446333441825,"auc_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,547.011135022668,622.896402141493,-254.505567511334,509.011135022668,0.133065620912078,1,0.715274435803694,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,523.339497162857,599.224764281682,-242.669748581428,485.339497162857,0.0585849738292836,1,0.808746588365642,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,546.096949172913,621.982216291738,-254.048474586457,508.096949172913,1.04725147066682,1,0.306140948097724,"auc_logprobdiff_pos","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,517.938266104454,593.823533223279,-239.969133052227,479.938266104454,5.45981603223242,1,0.0194586953651562,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,546.274431739299,622.159698858124,-254.137215869649,508.274431739299,0.869768904281273,1,0.351019293639862,"auc_logprobdiff_neg","baseline_final","rt","filteredRealisticCorrect","gemma-2-27b",NA
"critical_fit",19,520.629635524098,596.514902642923,-241.314817762049,482.629635524098,2.76844661258804,1,0.0961394183385639,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredRealisticCorrect","gemma-2-27b",NA
