"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",16,4933.85819721508,5038.4564035943,-2450.92909860754,4901.85819721508,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4679.25835022349,4790.39394450142,-2322.62917511174,4645.25835022349,256.599846991588,1,9.45554892790543e-58,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"baseline_midpoint_fit",16,4934.68341984008,5039.28162621931,-2451.34170992004,4902.68341984008,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4792.65559320371,4903.79118748164,-2379.32779660185,4758.65559320371,144.027826636374,1,3.50353905443962e-33,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4814.86740741835,4926.00300169628,-2390.43370370917,4780.86740741835,120.990789796728,1,3.83910108654545e-28,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4817.34036645231,4928.47596073024,-2391.67018322616,4783.34036645231,119.34305338777,1,8.80969618321987e-28,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4935.55453340336,5046.6901276813,-2450.77726670168,4901.55453340336,0.303663811710067,1,0.581594604540898,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4936.233926894,5047.36952117193,-2451.116963447,4902.233926894,0.449492946081591,1,0.502575844566902,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4934.85961761376,5045.99521189169,-2450.42980880688,4900.85961761376,0.998579601318852,1,0.317654447026285,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4935.97974326246,5047.11533754039,-2450.98987163123,4901.97974326246,0.703676577626538,1,0.401551061682248,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4935.82012311865,5046.95571739658,-2450.91006155932,4901.82012311865,0.0380740964274082,1,0.845294427968342,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4932.19537721847,5043.3309714964,-2449.09768860923,4898.19537721847,4.48804262161775,1,0.0341327374941624,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4935.72227728768,5046.85787156561,-2450.86113864384,4901.72227728768,0.135919927392024,1,0.712371328044332,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","contrast"
"critical_fit",17,4933.97862794997,5045.1142222279,-2449.98931397499,4899.97862794997,2.70479189011166,1,0.100047136707133,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","contrast"
