"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",16,4509.90683628407,4614.4862154401,-2238.95341814203,4477.90683628407,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4446.77532852734,4557.89091888062,-2206.38766426367,4412.77532852734,65.1315077567288,1,7.00628422307497e-16,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"baseline_midpoint_fit",16,4678.51168956652,4783.09106872255,-2323.25584478326,4646.51168956652,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4420.32731393811,4531.44290429139,-2193.16365696905,4386.32731393811,260.184375628412,1,1.56432401024189e-58,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4501.68905564449,4612.80464599777,-2233.84452782225,4467.68905564449,10.2177806395794,1,0.0013909312648853,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4659.8074880911,4770.92307844438,-2312.90374404555,4625.8074880911,20.7042014754243,1,5.35982681112948e-06,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4510.87894800117,4621.99453835446,-2238.43947400059,4476.87894800117,1.02788828289613,1,0.310655165825555,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4649.8464788996,4760.96206925288,-2307.9232394498,4615.8464788996,30.6652106669217,1,3.06613496851148e-08,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4510.42381142116,4621.53940177445,-2238.21190571058,4476.42381142116,1.48302486290777,1,0.223301853510088,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4673.98068146678,4785.09627182007,-2319.99034073339,4639.98068146678,6.53100809973967,1,0.0106009859087118,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4511.47025598637,4622.58584633966,-2238.73512799319,4477.47025598637,0.43658029769631,1,0.508777635001692,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4660.39551885829,4771.51110921158,-2313.19775942915,4626.39551885829,20.1161707082292,1,7.287789075426e-06,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4510.99110623325,4622.10669658653,-2238.49555311662,4476.99110623325,0.915730050820457,1,0.338598624861502,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","low-pass"
"critical_fit",17,4649.54750512045,4760.66309547373,-2307.77375256022,4615.54750512045,30.9641844460721,1,2.62834131097435e-08,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","low-pass"
