"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",12,4012.86124948324,4091.28636099937,-1994.43062474162,3988.86124948324,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3896.23782554019,3981.19836301599,-1935.11891277009,3870.23782554019,118.623423943049,1,1.26624756311608e-27,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"baseline_midpoint_fit",12,4185.27920271599,4263.70431423212,-2080.639601358,4161.27920271599,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3885.1964534752,3970.15699095101,-1929.5982267376,3859.1964534752,302.082749240786,1,1.15881898870125e-67,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3985.67654476478,4070.63708224058,-1979.83827238239,3959.67654476478,29.1847047184619,1,6.57965685996892e-08,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4069.12955519347,4154.09009266927,-2021.56477759673,4043.12955519347,118.149647522524,1,1.60787684424905e-27,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3984.35355482332,4069.31409229912,-1979.17677741166,3958.35355482332,30.5076946599193,1,3.32544918943283e-08,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4027.1705586497,4112.1310961255,-2000.58527932485,4001.1705586497,160.108644066295,1,1.07129965663813e-36,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4002.74747434374,4087.70801181954,-1988.37373717187,3976.74747434374,12.1137751394981,1,0.000500507035920295,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4182.69629929577,4267.65683677158,-2078.34814964789,4156.69629929577,4.58290342021974,1,0.032292454166158,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3998.53881175059,4083.4993492264,-1986.2694058753,3972.53881175059,16.3224377326455,1,5.34275777776591e-05,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4089.09013365164,4174.05067112744,-2031.54506682582,4063.09013365164,98.1890690643527,1,3.80283377950417e-23,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,3998.32986992045,4083.29040739626,-1986.16493496023,3972.32986992045,16.5313795627867,1,4.78515700486884e-05,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","rotation"
"critical_fit",13,4176.82754444525,4261.78808192105,-2075.41377222262,4150.82754444525,10.4516582707411,1,0.00122539397395548,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","rotation"
