"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",9,972.08015335525,1020.28667224421,-477.040076677625,954.08015335525,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,968.428616188103,1021.99141495361,-474.214308094051,948.428616188103,5.65153716714667,1,0.017440077898241,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"baseline_midpoint_fit",9,995.273281255324,1043.47980014428,-488.636640627662,977.273281255324,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,997.256528582745,1050.81932734825,-488.628264291373,977.256528582745,0.0167526725790594,1,0.897015736737581,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,969.104877221732,1022.66767598724,-474.552438610866,949.104877221732,4.97527613351758,1,0.0257120989576405,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,992.564411847191,1046.1272106127,-486.282205923596,972.564411847191,4.70886940813307,1,0.0300073799406284,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,950.033231041113,1003.59602980662,-465.016615520557,930.033231041113,24.0469223141365,1,9.40164152601779e-07,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,971.743952788477,1025.30675155398,-475.871976394239,951.743952788477,25.5293284668471,1,4.35709170191081e-07,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,964.503758990678,1018.06655775619,-472.251879495339,944.503758990678,9.57639436457191,1,0.00197095103392772,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,988.451527574268,1042.01432633978,-484.225763787134,968.451527574268,8.82175368105675,1,0.00297660461602253,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,947.469481113634,1001.03227987914,-463.734740556817,927.469481113634,26.610672241616,1,2.48865254068912e-07,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,971.969141567865,1025.53194033337,-475.984570783932,951.969141567865,25.30413968746,1,4.89656724057517e-07,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,958.520714294934,1012.08351306044,-469.260357147467,938.520714294934,15.5594390603153,1,7.99514785709406e-05,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","edge"
"critical_fit",10,954.269634880637,1007.83243364614,-467.134817440318,934.269634880637,43.0036463746876,1,5.46379350846665e-11,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","edge"
