"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",16,4535.44388880565,4639.95089100671,-2251.72194440282,4503.44388880565,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4486.73111032849,4597.76980016713,-2226.36555516425,4452.73111032849,50.7127784771528,1,1.0692115762876e-12,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"baseline_midpoint_fit",16,4631.93297673855,4736.43997893962,-2299.96648836928,4599.93297673855,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4487.84499721728,4598.88368705592,-2226.92249860864,4453.84499721728,146.087979521269,1,1.24195979725746e-33,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4537.43820909971,4648.47689893835,-2251.71910454986,4503.43820909971,0.00567970593419886,1,0.939925241767757,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4629.17677228274,4740.21546212137,-2297.58838614137,4595.17677228274,4.75620445581353,1,0.0291928551273578,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4536.09826917824,4647.13695901687,-2251.04913458912,4502.09826917824,1.34561962740645,1,0.246045361668028,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4566.045115174,4677.08380501263,-2266.022557587,4532.045115174,67.8878615645526,1,1.73063301878359e-16,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4528.95734280948,4639.99603264811,-2247.47867140474,4494.95734280948,8.48654599616748,1,0.00357782413475494,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4633.92466272969,4744.96335256833,-2299.96233136485,4599.92466272969,0.00831400886090705,1,0.927348623282539,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4520.51403555526,4631.55272539389,-2243.25701777763,4486.51403555526,16.9298532503908,1,3.87867718605773e-05,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4569.39584317189,4680.43453301052,-2267.69792158594,4535.39584317189,64.5371335666659,1,9.47301116770145e-16,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4537.06919353689,4648.10788337553,-2251.53459676845,4503.06919353689,0.374695268753385,1,0.540456002170288,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonI"
"critical_fit",17,4593.46557147752,4704.50426131615,-2279.73278573876,4559.46557147752,40.4674052610344,1,1.99923531436105e-10,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonI"
