"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",16,4179.23177323978,4283.78286995694,-2073.61588661989,4147.23177323978,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4151.56843411404,4262.65397437603,-2058.78421705702,4117.56843411404,29.6633391257383,1,5.13977239273308e-08,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"baseline_midpoint_fit",16,4367.35378722544,4471.9048839426,-2167.67689361272,4335.35378722544,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4222.78725689818,4333.87279716016,-2094.39362844909,4188.78725689818,146.566530327262,1,9.76092057771325e-34,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4180.77145455742,4291.85699481941,-2073.38572727871,4146.77145455742,0.460318682356046,1,0.497475074223474,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4368.93910754056,4480.02464780255,-2167.46955377028,4334.93910754056,0.414679684877228,1,0.51960378779609,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4170.32032975069,4281.40587001268,-2068.16016487534,4136.32032975069,10.9114434890907,1,0.000955720242839675,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4260.15204124132,4371.2375815033,-2113.07602062066,4226.15204124132,109.201745984122,1,1.46580977406867e-25,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4168.49610913253,4279.58164939452,-2067.24805456627,4134.49610913253,12.7356641072456,1,0.000358748415926172,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4361.57358341549,4472.65912367748,-2163.78679170775,4327.57358341549,7.78020380994531,1,0.00528218377220319,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4156.17349317542,4267.25903343741,-2061.08674658771,4122.17349317542,25.0582800643588,1,5.56233868176343e-07,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4286.47052074923,4397.55606101122,-2126.23526037462,4252.47052074923,82.8832664762049,1,8.70449411980614e-20,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4180.34539875386,4291.43093901585,-2073.17269937693,4146.34539875386,0.886374485921806,1,0.34646168252125,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","eidolonII"
"critical_fit",17,4305.63414623631,4416.7196864983,-2135.81707311816,4271.63414623631,63.7196409891249,1,1.4344724160609e-15,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","eidolonII"
