"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",10,3297.79285423932,3361.82861888562,-1638.89642711966,3277.79285423932,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3265.03007105866,3335.46941216958,-1621.51503552933,3243.03007105866,34.7627831806631,1,3.72425249521972e-09,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"baseline_midpoint_fit",10,3757.93681634046,3821.97258098676,-1868.96840817023,3737.93681634046,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3374.38143807694,3444.82077918786,-1676.19071903847,3352.38143807694,385.555378263522,1,7.68229277078747e-86,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3283.43350127321,3353.87284238414,-1630.71675063661,3261.43350127321,16.3593529661084,1,5.23969439100125e-05,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3736.76107105132,3807.20041216224,-1857.38053552566,3714.76107105132,23.1757452891416,1,1.47850416785617e-06,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3297.69355208219,3368.13289319311,-1637.84677604109,3275.69355208219,2.09930215713757,1,0.147366383732797,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3577.15977900266,3647.59912011358,-1777.57988950133,3555.15977900266,182.777037337807,1,1.19979056944755e-41,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3294.24881294485,3364.68815405577,-1636.12440647243,3272.24881294485,5.54404129446993,1,0.0185437118520525,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3758.4821522139,3828.92149332483,-1868.24107610695,3736.4821522139,1.45466412655969,1,0.227781025948259,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3289.17347321435,3359.61281432527,-1633.58673660717,3267.17347321435,10.6193810249774,1,0.0011190850072178,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3590.18255990444,3660.62190101536,-1784.09127995222,3568.18255990444,169.754256436021,1,8.37219923937149e-39,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3290.64396982154,3361.08331093247,-1634.32198491077,3268.64396982154,9.1488844177793,1,0.00248869749758607,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
"critical_fit",11,3692.94873976754,3763.38808087846,-1835.47436988377,3670.94873976754,66.9880765729281,1,2.7315424436277e-16,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","power-equalisation"
