"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,-1372.83346415397,-1302.07110612531,697.416732076983,-1394.83346415397,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1459.19274924369,-1381.99744957607,741.596374621845,-1483.19274924369,88.3592850897232,1,5.45827948387527e-21,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"baseline_midpoint_fit",11,-1278.26552501156,-1207.50316698291,650.132762505782,-1300.26552501156,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1525.87707250793,-1448.68177284031,774.938536253965,-1549.87707250793,249.611547496365,1,3.15592073087385e-56,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1411.14753346824,-1333.95223380061,717.573766734118,-1435.14753346824,40.31406931427,1,2.16246074186557e-10,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1366.71924018882,-1289.52394052119,695.359620094408,-1390.71924018882,90.4537151772524,1,1.89355038572388e-21,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1397.52361115771,-1320.32831149009,710.761805578854,-1421.52361115771,26.6901470037421,1,2.38836308433992e-07,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1276.283620698,-1199.08832103038,650.141810349002,-1300.283620698,0.0180956864389827,1,0.892991232411824,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1384.36786448754,-1307.17256481991,704.183932243768,-1408.36786448754,13.5344003335695,1,0.000234230212875654,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1277.41366069018,-1200.21836102256,650.706830345091,-1301.41366069018,1.14813567861825,1,0.283939757659814,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1393.46756970183,-1316.27227003421,708.733784850916,-1417.46756970183,22.6341055478663,1,1.95974726524421e-06,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1277.24612919859,-1200.05082953097,650.623064599295,-1301.24612919859,0.980604187025847,1,0.322049687633487,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1382.55319080227,-1305.35789113465,703.276595401136,-1406.55319080227,11.7197266483056,1,0.00061841037716543,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","colour"
"critical_fit",12,-1306.72800908543,-1229.53270941781,665.364004542717,-1330.72800908543,30.4624840738688,1,3.40385771791216e-08,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","colour"
